Cuenta,Tipo de gasto,Gasto
601-0001-0000,Sueldos y Salarios Operativo,"4,068,444.97"
601-0002-0000,IVA Gastos de Operacion,"1,555,311.26"
601-0003-0000,Diesel,"9,031,604.74"
601-0004-0000,Maniobras y Pensiones,45
601-0005-0000,Refrendos Licencias y Permisos,"27,537.00"
601-0007-0000,Capacitacion Operadores,0
601-0010-0000,Radio celular en Unidades,"29,277.34"
601-0011-0000,Arrendamiento de Equipo para Unidades de Transporte,"853,445.89"
601-0001-0000,Sueldos y Salarios Operativo,"4,012,933.75"
601-0002-0000,IVA Gastos de Operacion,"1,231,011.62"
601-0003-0000,Diesel,"7,326,049.43"
601-0004-0000,Maniobras y Pensiones,135
601-0005-0000,Refrendos Licencias y Permisos,"267,181.00"
601-0007-0000,Capacitacion Operadores,"5,250.00"
601-0010-0000,Radio celular en Unidades,"29,264.41"
601-0011-0000,Arrendamiento de Equipo para Unidades de Transporte,"853,169.96"
601-0001-0000,Sueldos y Salarios Operativo,"4,285,908.81"
601-0002-0000,IVA Gastos de Operacion,"1,105,531.31"
601-0003-0000,Diesel,"6,149,748.95"
601-0004-0000,Maniobras y Pensiones,896
601-0005-0000,Refrendos Licencias y Permisos,"6,339.00"
601-0007-0000,Capacitacion Operadores,"6,000.00"
601-0010-0000,Radio celular en Unidades,"36,492.93"
601-0011-0000,Arrendamiento de Equipo para Unidades de Transporte,"852,894.03"
601-0001-0000,Sueldos y Salarios Operativo,"4,070,009.64"
601-0002-0000,IVA Gastos de Operacion,"1,012,931.32"
601-0003-0000,Diesel,"6,090,955.58"
601-0004-0000,Maniobras y Pensiones,0
601-0005-0000,Refrendos Licencias y Permisos,"37,630.00"
601-0007-0000,Capacitacion Operadores,0
601-0010-0000,Radio celular en Unidades,"29,245.33"
601-0011-0000,Arrendamiento de Equipo para Unidades de Transporte,"339,747.13"
601-0001-0000,Sueldos y Salarios Operativo,"4,388,693.53"
601-0002-0000,IVA Gastos de Operacion,"1,141,779.16"
601-0003-0000,Diesel,"6,389,911.87"
601-0004-0000,Maniobras y Pensiones,0
601-0005-0000,Refrendos Licencias y Permisos,"51,384.00"
601-0007-0000,Capacitacion Operadores,"7,500.00"
601-0010-0000,Radio celular en Unidades,"29,245.33"
601-0011-0000,Arrendamiento de Equipo para Unidades de Transporte,"852,342.16"
601-0001-0000,Sueldos y Salarios Operativo,"6,695,636.90"
601-0002-0000,IVA Gastos de Operacion,"963,981.78"
601-0003-0000,Diesel,"-8,749,087.53"
601-0004-0000,Maniobras y Pensiones,0
