Cuenta,Tipo de gasto,Gasto
603-0001-0000,Sueldos y Salarios Administrativos,"326,332.67"
603-0002-0000,IVA Gastos de Adminstracion,"394,422.36"
603-0003-0000,Impuestos,"686,071.08"
603-0004-0000,Depreciaciones y Amortizaciones,"1,648,662.27"
603-0005-0000,Gastos de Oficina,"141,832.38"
603-0006-0000,Cuotas y Suscripciones (Empresas),"1,588,800.00"
603-0007-0000,Propaganda y Publicidad,"246,656.01"
603-0008-0000,Honorarios,"162,993.99"
603-0009-0000,Gastos Departamentos Varios,"21,448.92"
603-0010-0000,Mantenimientos Generales,"30,054.94"
603-0011-0000,Eventos,"7,294.89"
603-0012-0000,Seguros,0
603-0013-0000,No Deducibles,"19,381.49"
603-0014-0000,Gasolina,"13,776.88"
603-0016-0000,Monitoreo y Mantenimiento de Cámaras,"46,500.00"
603-0017-0000,Uniformes,0
603-0019-0000,Comision por dispersion de vales de despensa,"4,743.64"
603-0020-0000,Siniestros (ND),"524,780.00"
603-0022-0000,Administracion de ruta transporte (Recaudo),"1,851,745.32"
603-0001-0000,Sueldos y Salarios Administrativos,"326,786.26"
603-0002-0000,IVA Gastos de Adminstracion,"485,183.45"
603-0003-0000,Impuestos,"1,758,874.24"
603-0004-0000,Depreciaciones y Amortizaciones,"1,622,615.05"
603-0005-0000,Gastos de Oficina,"160,287.74"
603-0006-0000,Cuotas y Suscripciones (Empresas),"1,294,400.00"
603-0007-0000,Propaganda y Publicidad,"246,656.01"
603-0008-0000,Honorarios,"645,200.50"
603-0009-0000,Gastos Departamentos Varios,"60,870.67"
603-0010-0000,Mantenimientos Generales,"15,960.85"
603-0011-0000,Eventos,0
603-0012-0000,Seguros,"88,370.69"
603-0013-0000,No Deducibles,"254,993.48"
603-0014-0000,Gasolina,"23,442.96"
603-0016-0000,Monitoreo y Mantenimiento de Cámaras,"46,500.00"
603-0017-0000,Uniformes,0
603-0019-0000,Comision por dispersion de vales de despensa,"4,697.47"
603-0020-0000,Siniestros (ND),"908,288.00"
603-0022-0000,Administracion de ruta transporte (Recaudo),"1,504,603.35"
603-0001-0000,Sueldos y Salarios Administrativos,"347,632.03"
603-0002-0000,IVA Gastos de Adminstracion,"541,919.69"
