Fecha,Costo de Venta (Refacciones),Costo de llantas,Costo de Lubricantes,Gastos de Operación,Gastos de Mantenimiento,Gastos Administrativos,Gastos Financieros,Gastos no fiscales,ISR  Ejercicio,ISR Facilidades Administrativas,Costo de lo Vendido
01/07/2021,675428.5,116546.07,55387.54,15565666.2,2137446.07,7715496.84,661250.14,723228.5,0,0,0
01/08/2021,2203901.86,331751.81,149698.92,13724995.17,2410762.49,9447730.72,1991768.89,870321.95,0,0,0
01/09/2021,1654899.75,381262.92,68662.57,12443811.03,2381911.41,8559350.94,1387500.25,619415.88,0,0,0
01/10/2021,1766388.96,174129.85,90130.02,11580519,2243893.93,9260127.89,1586036.36,712383,0,0,0
01/11/2021,2040915,119419.11,50134.62,12860856.05,2297578.67,7167099.5,1712182.61,1050430,0,0,0
01/12/2021,1718942.53,276681.98,124525.29,-181833.54,2728856.51,12889767.41,1539541.93,969657.85,7364720.33,0,0
01/01/2022,2138142.12,0,0,12127585.94,2400658.15,7199209.56,1671231.94,729996.96,0,0,0
01/02/2022,1757719.47,0,0,11398109.94,1897293.07,9310024.87,1726942.66,670036.67,1848682,0,0
01/03/2022,1747803.42,0,0,15047616.45,1767544.9,9660636.49,1576318.1,658290.67,402886,0,0
01/04/2022,1452754.23,0,0,16569230.63,2368402.67,7880263.08,1608591.31,821669,579264,0,0
01/05/2022,1411755.25,0,0,16344940.77,2089947.91,8491051.45,1656953.37,777239,0,649,0
01/06/2022,1819083.6,0,0,16232903.63,2008862.19,7909150.3,1749860.18,655480.6,663101,7961,0
01/07/2022,1586509.79,0,0,13585163.39,1912135.81,9499330.09,1887765.73,715843.4,0,15116,0
01/08/2022,1493205.03,0,0,15511882.67,1687885.38,8509979.72,2019915.37,640803.6,705295,26055,0
01/09/2022,2165080.88,0,0,15320527.09,2759745.27,9760575.27,1896916.92,584536,2152894,7909,0
01/10/2022,1472493.73,0,0,14954798.04,2225192.08,10428840.97,1932760.84,1158582.84,2217883,15545,0
01/11/2022,1903223.71,0,0,14272474.04,2045658.84,8635108.23,2129605.99,896557.06,2264363,15799,0
01/12/2022,1805140.17,0,0,14176083.52,2185965.34,12660476.24,1883637.75,1034435.82,719460.85,9166,0
01/01/2023,2055054.39,0,0,15898799.83,2014525.42,8780311.48,2073182.74,649698,0,0,0
01/02/2023,1675294.97,0,0,10879216.64,2692024.74,9122453.97,2039000.65,593444.3,929154,15826,0
01/03/2023,2018057.25,0,0,15990276.66,2975963.42,9258478.01,1902427.45,1102266.46,1594729,654,0
01/04/2023,2004854.38,0,0,12425351.37,2171370.34,8501878.63,1975181.23,654003,513475,599,0
01/05/2023,2383687.82,0,0,15271804.96,2700364.99,8866771.08,2008908.23,914889.8,506210,4777,0
01/06/2023,2073424.77,0,0,12408539.74,2589508.97,10417578.17,1866994.48,674843.54,192772,666,0
01/07/2023,1868629.29,0,0,12728701.92,2504724.85,8919279.31,1835130.18,852273.49,22811,4866,0
01/08/2023,1964021.54,0,0,13916645.44,2360883.08,9429662.53,1917837.44,919614,2149031,1839,0
01/09/2023,2005578,0,0,23243186.88,2670809.21,8618001.64,1988830.34,920098.8,3067724,11721,0
01/10/2023,2006325.06,0,0,13852355.31,2171309.34,11463054.41,1785632.8,1285895.94,2499212,8396,0
01/11/2023,2005578,0,0,23337711.98,2699718.54,12051735.07,2612438.61,935822.98,3524649,109553,0
01/12/2023,2856067.12,0,0,14632927.57,2847864.92,20729294.65,2155920.41,1053112.17,1486101,1102,0
01/01/2024,2447202,0,0,16742290.48,2546773.75,11458129.74,2661241.26,837094.61,0,0,0
01/02/2024,2127871.85,0,0,20555877.65,2538731.99,13840086.68,2593063.11,909801.72,252257,612,0
01/03/2024,2723454.3,0,0,13783369.63,3030382.56,14827605.84,2230849.99,994373,0,0,0
01/04/2024,2452403.92,0,0,14072231.45,2986382.44,11783809.1,2830835.99,1015400,0,0,0
01/05/2024,2810401.45,0,0,16270044.18,3346249.24,14243051.11,2434517.58,1081403.33,0,0,0
01/06/2024,2365597.56,0,0,15167390.55,3534033.77,12614960.13,2497175.09,1256943.45,56019,58243,171781.61
01/07/2024,2867755.9,0,0,16191713.82,3162122.97,14491700.47,2428595.81,1308462.42,0,33015,0
01/08/2024,2510763.52,0,0,15330407.49,3094379.19,14216802.16,2340597.5,1080383.6,1664026,31863,0
01/09/2024,2970705.22,0,0,13368233.37,3188847.63,13564472.55,3062303.98,944639.52,0,16341,0
01/10/2024,2553796.08,0,0,12855297,3044225.47,16245362.5,2131906.25,1449427.22,0,16560,0
01/11/2024,2442523.19,0,0,11110487.48,2755809.12,13629539.3,2647959.84,1114256.6,348899,656,224734.38
01/12/2024,2396005.9,0,0,13840470.03,3318150.44,13012338.96,2378604.55,1208402.33,66568.71,1302,0
01/01/2025,2279862.26,0,0,13364882.55,3295229.43,12421778.04,2492370.47,1074897.01,0,0,0
01/02/2025,2928949.42,0,0,14087469.02,2766280.3,11401034.61,2497111.88,833490.66,0,0,0
01/03/2025,2483378.7,0,0,13431907.86,2790181.54,11092818.02,2200618.27,978537.4,0,0,0
01/04/2025,2564716.71,0,0,16811739.38,3445323.01,12075523.3,2346424.11,1267184.45,0,0,324870.69
01/05/2025,2908577.77,0,0,14977205.53,3897379.93,26605639.13,2448349.88,1406768.2,0,0,0
01/06/2025,2948044.24,0,0,14247505.41,2960487.34,13667262.65,2275866.73,1337541.5,3278128,82702,0
01/07/2025,3008673.42,0,0,12981518.28,2828235.28,15158451.71,2209370.4,1767650.1,705174,0,0
01/08/2025,1953312.15,0,0,14467748.85,2574405.91,15383815.26,2313750.81,1129113.97,1877791,16414,0
01/09/2025,2239140.76,0,0,13599809.38,3314346.63,15346586.58,2130108.09,1239360.45,0,16434,0
01/10/2025,2813130.7,0,0,13461852.18,3028071.41,17513932.28,2109660.49,2380911,2786313,16601,0
01/11/2025,2342245.23,0,0,12725344.61,2662146.6,14149511.1,2175052.29,1597667.9,3401490,11434,0
01/12/2025,2212771.13,0,0,15521972.44,3095368.15,22710097.96,2002125.09,2437810.97,6457149,0,0
