Fecha,Costo de Venta (Refacciones),Costo de llantas,Costo de Lubricantes,Gastos de Operación,Gastos de Mantenimiento,Gastos Administrativos,Gastos Financieros,Gastos no fiscales,ISR  Ejercicio,ISR Facilidades Administrativas,Costo de lo Vendido
01/07/2021,633058.91,122251.0,47876.94,16604905.65,1950846.71,8908934.35,811640.01,836944.78,0.0,0.0,0.0
01/08/2021,2700566.91,401730.58,118036.09,13970498.85,2707878.61,10912664.64,2228686.73,775393.66,0.0,0.0,0.0
01/09/2021,1846863.11,302816.64,61444.47,9894632.69,2560117.56,10130301.34,1425208.38,501158.5,0.0,0.0,0.0
01/10/2021,1853523.59,147660.62,74862.95,13522007.46,2635704.08,11173458.07,1674632.94,782459.11,0.0,0.0,0.0
01/11/2021,1689896.64,92264.83,60905.98,11708395.16,2478642.68,7207745.55,1643352.92,1118152.72,0.0,0.0,0.0
01/12/2021,1423279.71,252518.01,143709.68,0.0,2822058.7,12899539.75,1345352.57,1152667.2,8549924.99,0.0,0.0
01/01/2022,1665702.1,0.0,0.0,9342941.47,1912934.16,8272954.31,1550880.41,815797.53,0.0,0.0,0.0
01/02/2022,2079536.94,0.0,0.0,11916113.82,1771802.12,10008108.83,1949585.38,771708.35,1461705.51,0.0,0.0
01/03/2022,1836168.0,0.0,0.0,16383576.66,1560037.22,10636200.78,1193582.93,586548.37,319254.46,0.0,0.0
01/04/2022,1603893.39,0.0,0.0,12564346.75,2065234.86,9045725.11,1299800.2,689150.04,720210.39,0.0,0.0
01/05/2022,1073346.57,0.0,0.0,16443770.93,2584231.62,10146829.16,1280827.14,874632.78,0.0,676.15,0.0
01/06/2022,2246486.25,0.0,0.0,14013019.77,1901486.22,7268489.97,1348029.99,756042.71,620212.34,6280.17,0.0
01/07/2022,1850221.54,0.0,0.0,14571261.43,2286958.94,8908390.79,2223278.88,891405.83,0.0,18701.48,0.0
01/08/2022,1278436.69,0.0,0.0,12986287.8,1798558.86,6782376.99,2225601.19,612806.15,863016.09,32389.11,0.0
01/09/2022,1820643.54,0.0,0.0,16783160.48,3166547.32,10142604.87,1872421.87,547130.98,2676048.39,8692.63,0.0
01/10/2022,1239401.29,0.0,0.0,14107873.03,2228126.1,8009048.86,1544115.65,1318706.5,2498864.58,15825.56,0.0
01/11/2022,1716938.31,0.0,0.0,17389082.75,2124318.4,8486575.81,2120678.55,825192.71,2124266.39,14294.36,0.0
01/12/2022,1827484.58,0.0,0.0,11606816.83,2177787.31,12930426.93,1858652.96,1257231.22,569633.39,10604.12,0.0
01/01/2023,1985126.05,0.0,0.0,14635372.69,1707555.05,7843194.33,1734426.62,766128.02,0.0,0.0,0.0
01/02/2023,1500418.58,0.0,0.0,8776663.99,2991448.04,9536765.09,1971562.38,572375.26,956287.27,13156.29,0.0
01/03/2023,2130920.02,0.0,0.0,19385760.89,2649756.7,7085051.45,1805883.76,1240529.84,1534306.32,788.37,0.0
01/04/2023,1643473.22,0.0,0.0,14769638.4,1654927.24,6535173.86,2089593.7,737238.9,617801.41,695.6,0.0
01/05/2023,2135956.69,0.0,0.0,13423470.83,2896779.14,10296983.74,2144603.6,733340.84,407802.14,5851.35,0.0
01/06/2023,1934880.44,0.0,0.0,13401123.94,2171446.57,9689340.71,1442537.03,810673.65,192061.16,741.16,0.0
01/07/2023,1827584.83,0.0,0.0,14747615.33,3056338.63,7256103.58,1720079.09,854511.72,17237.74,5141.94,0.0
01/08/2023,2244067.41,0.0,0.0,14300750.5,2896719.23,9534535.75,2038526.87,1069721.43,2115356.37,1763.82,0.0
01/09/2023,1704414.17,0.0,0.0,23587773.85,3224821.03,9781404.08,1991949.08,837312.73,2387154.46,14257.01,0.0
01/10/2023,2020604.52,0.0,0.0,12064378.42,2030346.53,9834274.9,2103912.78,1540196.8,2022884.58,9932.74,0.0
01/11/2023,2098250.31,0.0,0.0,18589686.77,2045653.16,12792256.8,2819727.3,883979.17,2850606.13,84641.67,0.0
01/12/2023,2208383.09,0.0,0.0,17539142.28,3457761.62,16431567.36,1792577.14,795540.76,1596971.79,841.03,0.0
01/01/2024,2578793.99,0.0,0.0,20094248.19,2455324.39,8889685.24,2089831.18,1006766.14,0.0,0.0,0.0
01/02/2024,1777330.63,0.0,0.0,21923886.29,3131087.75,14057062.09,2777714.2,723877.68,262772.18,707.03,0.0
01/03/2024,2131173.25,0.0,0.0,12674013.69,3732855.51,15128866.62,1702708.87,904538.18,0.0,0.0,0.0
01/04/2024,3002828.25,0.0,0.0,13011252.57,3513493.06,12593532.96,2952244.29,1243896.46,0.0,0.0,0.0
01/05/2024,3464707.92,0.0,0.0,18108198.62,3002336.62,15853166.32,2970391.71,1325047.36,0.0,0.0,0.0
01/06/2024,2730369.57,0.0,0.0,18178953.75,3330999.52,15616387.64,2591411.21,1303097.09,66343.28,54774.36,210391.3
01/07/2024,2587595.89,0.0,0.0,19325510.12,3717291.64,14609810.35,2292800.79,1394714.44,0.0,40772.11,0.0
01/08/2024,2005688.43,0.0,0.0,17475710.57,2811122.82,12958305.76,2508287.52,1052534.29,2049433.17,37313.47,0.0
01/09/2024,3244356.23,0.0,0.0,14317589.47,2661878.99,15566495.07,2998382.81,846968.88,0.0,19105.31,0.0
01/10/2024,2477376.92,0.0,0.0,10182294.87,3130683.39,14383905.92,2180531.61,1325258.08,0.0,16300.78,0.0
01/11/2024,1980933.0,0.0,0.0,9230752.51,3356788.77,13213643.59,3232450.38,1210371.51,269203.48,628.06,220142.58
01/12/2024,2390227.82,0.0,0.0,16598558.68,3643378.62,10269704.73,2243146.16,1360887.31,79587.66,1154.49,0.0
01/01/2025,1749097.24,0.0,0.0,14076088.49,3410663.24,9473784.18,3067099.34,1231605.73,0.0,0.0,0.0
01/02/2025,3528388.8,0.0,0.0,10630383.35,2209118.94,14038369.9,3003214.83,954187.67,0.0,0.0,0.0
01/03/2025,2183858.37,0.0,0.0,10755409.1,2950627.06,12956301.19,1865894.48,778527.34,0.0,0.0,0.0
01/04/2025,2773128.52,0.0,0.0,18186113.95,4289519.91,13258768.85,1841193.6,1263649.2,0.0,0.0,282661.15
01/05/2025,2634751.28,0.0,0.0,11270808.34,3196015.26,25394456.58,1959632.31,1095562.07,0.0,0.0,0.0
01/06/2025,2977624.95,0.0,0.0,11831185.85,2987619.69,11434676.48,1727635.27,1370664.97,3315986.84,84994.16,0.0
01/07/2025,3078941.41,0.0,0.0,13297837.57,3361885.2,12554510.46,1761357.54,1715973.29,750798.28,0.0,0.0
01/08/2025,1645523.34,0.0,0.0,15855894.61,2884323.99,13462706.7,2525466.85,1347995.07,2061578.56,20064.19,0.0
01/09/2025,2764873.8,0.0,0.0,14633131.46,3640835.86,15724317.22,1673400.83,1146975.43,0.0,19307.05,0.0
01/10/2025,3200123.0,0.0,0.0,11605929.28,3334639.54,19393141.51,1918710.51,1925046.32,2964021.37,14503.86,0.0
01/11/2025,2856952.38,0.0,0.0,14075371.47,2475119.02,15282868.38,2550113.21,1312477.54,3544887.14,11151.26,0.0
01/12/2025,2649602.41,0.0,0.0,13482766.23,2775913.53,20211236.58,1524890.48,2756567.71,7752317.52,0.0,0.0
