Fecha,Efectivo,Tarifa Incompleta,Overpay,Monto Pasajes,Monto Tarjeta Gral,Monto Tarjeta Per,Monto Tarjeta Bpd,Recargas,Recargas Error,Monto Total Efectivo,Monto Total Tarjetas,Ingreso_Total
2021-01-01,47339.5,0.0,2224.0,45115.5,10792.0,2166.0,0.0,0.0,0.0,47339.5,12958.0,60297.5
2021-01-02,71522.0,0.0,3350.0,68172.0,21232.5,3990.0,0.0,0.0,0.0,71522.0,25222.5,96744.5
2021-01-03,56236.5,0.0,2599.5,53637.0,15428.0,3239.5,0.0,0.0,0.0,56236.5,18667.5,74904.0
2021-01-04,93697.5,0.0,4502.0,89195.5,35986.0,7267.5,0.0,0.0,0.0,93697.5,43253.5,136951.0
2021-01-05,87702.0,0.0,4121.0,83581.0,37772.0,6308.0,0.0,0.0,0.0,87702.0,44080.0,131782.0
2021-01-06,86069.5,0.0,3951.5,82118.0,38000.0,6479.0,0.0,0.0,0.0,86069.5,44479.0,130548.5
2021-01-07,82015.5,0.0,3802.0,78213.5,37211.5,6094.25,0.0,0.0,0.0,82015.5,43305.75,125321.25
2021-01-08,85550.0,0.0,3973.5,81576.5,38332.5,6094.25,0.0,0.0,0.0,85550.0,44426.75,129976.75
2021-01-09,76965.0,0.0,3701.0,73264.0,28357.5,4645.5,0.0,0.0,0.0,76965.0,33003.0,109968.0
2021-01-10,65657.5,0.0,3119.0,62538.5,17527.5,3458.0,0.0,0.0,0.0,65657.5,20985.5,86643.0
2021-01-11,95841.5,4.5,4442.0,91399.5,37553.5,6773.5,0.0,0.0,0.0,95846.0,44327.0,140173.0
2021-01-12,87197.0,4749.0,4043.5,83153.5,38617.5,6312.75,0.0,0.0,0.0,91946.0,44930.25,136876.25
2021-01-13,79386.0,5190.0,3718.5,75667.5,36907.5,5728.5,0.0,0.0,0.0,84576.0,42636.0,127212.0
2021-01-14,81661.5,5057.5,3847.0,77814.5,36964.5,6075.25,0.0,0.0,0.0,86719.0,43039.75,129758.75
2021-01-15,90538.5,6181.0,4259.5,86279.0,37971.5,6407.75,0.0,0.0,0.0,96719.5,44379.25,141098.75
2021-01-16,77002.5,4784.5,3529.5,73473.0,28975.0,4270.25,0.0,0.0,0.0,81787.0,33245.25,115032.25
2021-01-17,58791.5,3269.0,2618.0,56173.5,15551.5,3158.75,0.0,0.0,0.0,62060.5,18710.25,80770.75
2021-01-18,91276.0,5201.0,4199.0,87077.0,38085.5,6298.5,0.0,0.0,0.0,96477.0,44384.0,140861.0
2021-01-19,76723.0,4472.0,3525.5,73197.5,35226.0,5035.0,0.0,0.0,0.0,81195.0,40261.0,121456.0
2021-01-20,77240.0,4200.5,3558.0,73682.0,35872.0,5358.0,0.0,0.0,0.0,81440.5,41230.0,122670.5
2021-01-21,77728.5,4819.0,3609.5,74119.0,36081.0,5372.25,0.0,0.0,0.0,82547.5,41453.25,124000.75
2021-01-22,82610.5,4224.5,3789.0,78821.5,36527.5,5149.0,0.0,0.0,0.0,86835.0,41676.5,128511.5
2021-01-23,74964.5,4195.5,3591.0,71373.5,28319.5,4465.0,0.0,0.0,0.0,79160.0,32784.5,111944.5
2021-01-24,58733.5,3178.5,2750.0,55983.5,15418.5,3339.25,0.0,0.0,0.0,61912.0,18757.75,80669.75
2021-01-25,85731.0,5049.0,3879.0,81852.0,35444.5,5818.75,0.0,0.0,0.0,90780.0,41263.25,132043.25
2021-01-26,76414.0,4521.5,3482.5,72931.5,37354.0,5757.0,0.0,0.0,0.0,80935.5,43111.0,124046.5
2021-01-27,78163.5,5062.5,3617.0,74546.5,37012.0,5685.75,0.0,0.0,0.0,83226.0,42697.75,125923.75
2021-01-28,74718.0,4263.0,3439.5,71278.5,35967.0,5557.5,0.0,0.0,0.0,78981.0,41524.5,120505.5
2021-01-29,84732.0,4720.0,3792.0,80940.0,36717.5,6080.0,0.0,0.0,0.0,89452.0,42797.5,132249.5
2021-01-30,80656.5,4363.0,3773.0,76883.5,29602.0,4541.0,0.0,0.0,0.0,85019.5,34143.0,119162.5
2021-01-31,66361.5,3656.0,3034.5,63327.0,16634.5,3572.0,0.0,0.0,0.0,70017.5,20206.5,90224.0
2021-02-01,71966.5,3554.0,3319.5,68647.0,23028.0,4716.75,0.0,0.0,0.0,75520.5,27744.75,103265.25
2021-02-02,90022.0,5000.0,4113.5,85908.5,37268.5,6445.75,9.5,0.0,0.0,95022.0,43723.75,138745.75
2021-02-03,82026.5,4715.0,3889.0,78137.5,38313.5,5804.5,80.75,0.0,0.0,86741.5,44198.75,130940.25
2021-02-04,82943.0,4848.0,3855.5,79087.5,38408.5,6103.75,133.0,0.0,0.0,87791.0,44645.25,132436.25
2021-02-05,89415.5,4976.5,4143.5,85272.0,38731.5,6156.0,247.0,0.0,0.0,94392.0,45134.5,139526.5
2021-02-06,81230.0,4434.0,3814.5,77415.5,29070.0,4598.0,204.25,0.0,0.0,85664.0,33872.25,119536.25
2021-02-07,73898.5,3983.5,3427.5,70471.0,19541.5,3804.75,237.5,0.0,0.0,77882.0,23583.75,101465.75
2021-02-08,94998.5,5288.5,4378.0,90620.5,37624.75,6469.5,275.5,0.0,0.0,100287.0,44369.75,144656.75
2021-02-09,81703.5,4512.5,3803.5,77900.0,36936.0,5662.0,327.75,0.0,0.0,86216.0,42925.75,129141.75
2021-02-10,79961.5,5065.5,3676.5,76285.0,36594.0,5856.75,446.5,0.0,0.0,85027.0,42897.25,127924.25
2021-02-11,83527.5,5323.5,3879.5,79648.0,38845.5,5633.5,456.0,0.0,0.0,88851.0,44935.0,133786.0
2021-02-12,91042.5,5388.0,4241.0,86801.5,38788.5,5837.75,565.25,0.0,0.0,96430.5,45191.5,141622.0
2021-02-13,83618.0,5047.0,3989.0,79629.0,30818.0,4621.75,494.0,0.0,0.0,88665.0,35933.75,124598.75
2021-02-14,76657.0,4279.0,3640.0,73017.0,20159.0,3847.5,422.75,0.0,0.0,80936.0,24429.25,105365.25
2021-02-15,91821.0,5289.5,4145.5,87675.5,37601.0,5795.0,741.0,0.0,0.0,97110.5,44137.0,141247.5
2021-02-16,83162.0,5100.5,3818.0,79344.0,38380.0,4574.25,698.25,0.0,0.0,88262.5,43652.5,131915.0
2021-02-17,83340.5,4441.5,3854.0,79486.5,37762.5,4735.75,679.25,0.0,0.0,87782.0,43177.5,130959.5
2021-02-18,85119.0,5086.0,3837.0,81282.0,40878.5,4721.5,831.25,0.0,0.0,90205.0,46431.25,136636.25
2021-02-19,87685.5,5081.5,4095.0,83590.5,39928.5,4493.5,869.25,0.0,0.0,92767.0,45291.25,138058.25
2021-02-20,85248.5,4851.5,3881.0,81367.5,31473.5,3686.0,779.0,0.0,0.0,90100.0,35938.5,126038.5
2021-02-21,72942.5,3346.0,3374.0,69568.5,19104.5,2764.5,536.75,0.0,0.0,76288.5,22405.75,98694.25
2021-02-22,93338.0,5303.0,4294.5,89043.5,40194.5,4959.0,907.25,0.0,0.0,98641.0,46060.75,144701.75
2021-02-23,85097.5,4980.0,3996.0,81101.5,40156.5,4460.25,760.0,0.0,0.0,90077.5,45376.75,135454.25
2021-02-24,81177.5,4698.5,3686.0,77491.5,39292.0,4536.25,1030.75,0.0,0.0,85876.0,44859.0,130735.0
2021-02-25,84539.5,5158.5,3808.5,80731.0,40479.5,4588.5,1021.25,0.0,0.0,89698.0,46089.25,135787.25
2021-02-26,94487.0,5242.0,4370.0,90117.0,40793.0,4693.0,1121.0,0.0,0.0,99729.0,46607.0,146336.0
2021-02-27,93024.0,4667.5,4275.0,88749.0,34162.0,3956.75,1002.25,0.0,0.0,97691.5,39121.0,136812.5
2021-02-28,76742.5,3890.5,3535.5,73207.0,20415.5,2759.75,826.5,0.0,0.0,80633.0,24001.75,104634.75
2021-03-01,96077.0,5094.0,4392.5,91684.5,38608.0,4840.25,1439.25,0.0,0.0,101171.0,44887.5,146058.5
2021-03-02,88052.0,5130.5,4034.0,84018.0,41638.5,4640.75,1382.25,0.0,0.0,93182.5,47661.5,140844.0
2021-03-03,84715.0,4579.0,3813.0,80902.0,39938.0,4412.75,1230.25,0.0,0.0,89294.0,45581.0,134875.0
2021-03-04,86649.5,4656.5,3990.0,82659.5,40726.5,4393.75,1254.0,0.0,0.0,91306.0,46374.25,137680.25
2021-03-05,86903.0,4277.0,4044.0,82859.0,39748.0,4303.5,1434.5,0.0,0.0,91180.0,45486.0,136666.0
2021-03-06,86633.5,3982.5,3907.5,82726.0,31720.5,3334.5,1111.5,0.0,0.0,90616.0,36166.5,126782.5
2021-03-07,82695.0,3863.0,3712.0,78983.0,21812.0,3144.5,1201.75,0.0,0.0,86558.0,26158.25,112716.25
2021-03-08,92753.0,5015.0,4222.5,88530.5,40669.5,4740.5,1700.5,0.0,0.0,97768.0,47110.5,144878.5
2021-03-09,88266.5,4562.5,4058.5,84208.0,39862.0,4512.5,1700.5,0.0,0.0,92829.0,46075.0,138904.0
2021-03-10,85616.5,4399.5,3945.0,81671.5,39776.5,4484.0,1543.75,0.0,0.0,90016.0,45804.25,135820.25
2021-03-11,84585.5,4230.5,3797.5,80788.0,39292.0,4441.25,1648.25,0.0,0.0,88816.0,45381.5,134197.5
2021-03-12,95604.0,4780.0,4290.0,91314.0,41420.0,4279.75,1653.0,0.0,0.0,100384.0,47352.75,147736.75
2021-03-13,95680.0,4732.0,4461.0,91219.0,34589.5,3705.0,1610.25,0.0,0.0,100412.0,39904.75,140316.75
2021-03-14,81581.0,4386.5,3681.0,77900.0,23018.5,3063.75,1277.75,0.0,0.0,85967.5,27360.0,113327.5
2021-03-15,80784.5,4603.0,3739.5,77045.0,24871.0,3325.0,1572.25,0.0,0.0,85387.5,29768.25,115155.75
2021-03-16,93441.5,5144.5,4255.5,89186.0,39577.0,4346.25,1814.5,0.0,0.0,98586.0,45737.75,144323.75
2021-03-17,90859.5,4950.0,4134.0,86725.5,41448.5,4422.25,1885.75,0.0,0.0,95809.5,47756.5,143566.0
2021-03-18,95673.0,5099.5,4378.0,91295.0,44289.0,4697.75,1695.75,0.0,0.0,100772.5,50682.5,151455.0
2021-03-19,95660.0,5397.5,4412.5,91247.5,41087.5,4550.5,1904.75,0.0,0.0,101057.5,47542.75,148600.25
2021-03-20,98190.5,5049.0,4520.5,93670.0,36223.5,3681.25,1686.25,0.0,0.0,103239.5,41591.0,144830.5
2021-03-21,79927.0,4284.5,3661.0,76266.0,22344.0,2864.25,1410.75,0.0,0.0,84211.5,26619.0,110830.5
2021-03-22,98720.0,5071.5,4584.5,94135.5,41116.0,4740.5,2061.5,0.0,0.0,103791.5,47918.0,151709.5
2021-03-23,90367.5,4725.0,4126.5,86241.0,41724.0,4213.25,1838.25,0.0,0.0,95092.5,47775.5,142868.0
2021-03-24,86841.0,4442.0,3991.5,82849.5,40356.0,3999.5,1966.5,0.0,0.0,91283.0,46322.0,137605.0
2021-03-25,92453.5,5299.0,4284.0,88169.5,44070.5,4612.25,2232.5,0.0,0.0,97752.5,50915.25,148667.75
2021-03-26,98059.5,5120.0,4522.5,93537.0,42436.5,4066.0,2417.75,0.0,0.0,103179.5,48920.25,152099.75
2021-03-27,93076.5,4762.5,4346.5,88730.0,36252.0,3515.0,2090.0,0.0,0.0,97839.0,41857.0,139696.0
2021-03-28,77433.5,4008.5,3580.5,73853.0,20634.0,2826.25,1401.25,0.0,0.0,81442.0,24861.5,106303.5
2021-03-29,94918.0,4999.5,4392.5,90525.5,39691.0,4446.0,2398.75,0.0,0.0,99917.5,46535.75,146453.25
2021-03-30,89369.0,4412.5,4059.0,85310.0,39225.5,4047.0,2099.5,0.0,0.0,93781.5,45372.0,139153.5
2021-03-31,93527.0,4870.5,4246.0,89281.0,41363.0,4184.75,2341.75,0.0,0.0,98397.5,47889.5,146287.0
2021-04-01,90062.0,4178.5,4077.5,85984.5,30704.0,3538.75,1862.0,0.0,0.0,94240.5,36104.75,130345.25
2021-04-02,78730.0,4061.0,3613.5,75116.5,23864.0,2522.25,1534.25,0.0,0.0,82791.0,27920.5,110711.5
2021-04-03,89373.5,3962.0,4073.0,85300.5,27227.0,3044.75,1985.5,0.0,0.0,93335.5,32257.25,125592.75
2021-04-04,81833.0,3659.5,3676.5,78156.5,20719.5,2845.25,1714.75,0.0,0.0,85492.5,25279.5,110772.0
2021-04-05,104198.5,4809.5,4676.5,99522.0,40204.0,4493.5,2655.25,0.0,0.0,109008.0,47352.75,156360.75
2021-04-06,82728.0,4157.0,3792.5,78935.5,40223.0,4151.5,2251.5,0.0,0.0,86885.0,46626.0,133511.0
