Fecha,Efectivo,Tarifa Incompleta,Monto Tarjeta Gral,Monto Tarjeta Per,Monto Tarjeta Bpd,Recargas,Recargas Error
01/01/2021,7068,630,2481,2259,0,2714,0
01/01/2021,5063,565,2441,3331,0,2453,0
01/01/2021,7360,391,1171,2883,0,2322,0
01/01/2021,7390,641,3866,3537,0,1705,0
01/01/2021,5917,671,1999,2117,0,1755,0
01/01/2021,8275,427,2316,2030,0,1545,0
01/01/2021,6782,603,2961,3308,0,1911,0
01/01/2021,5786,317,3896,2801,0,2963,0
01/01/2021,5221,560,2327,2475,0,1808,0
01/01/2021,9287,536,1368,3646,0,2831,0
01/01/2021,6017,418,2485,1187,0,1570,0
01/01/2021,6768,606,3643,3075,0,2696,0
02/01/2021,9238,651,3016,1484,0,1709,0
02/01/2021,7757,603,3628,1749,0,1554,0
02/01/2021,7632,470,3501,2793,0,2466,0
02/01/2021,7717,659,3952,2727,0,2275,0
02/01/2021,6098,459,3158,1528,0,2161,0
02/01/2021,5765,618,3698,3578,0,2567,0
02/01/2021,5015,610,1723,3911,0,1099,0
02/01/2021,6107,634,2516,3840,0,1975,0
02/01/2021,8436,372,3677,2787,0,2888,0
02/01/2021,7680,646,3963,1882,0,2786,0
02/01/2021,9053,617,3451,1045,0,2708,0
03/01/2021,9686,599,1232,3671,0,2211,0
03/01/2021,8307,351,3400,3874,0,1299,0
03/01/2021,7971,696,3057,3109,0,2802,0
03/01/2021,8473,576,3275,3430,0,1123,0
03/01/2021,6001,667,3364,3619,0,1716,0
03/01/2021,7497,380,3151,2374,0,2509,0
03/01/2021,9680,373,1566,1466,0,1335,0
03/01/2021,8023,573,3617,3920,0,2538,0
03/01/2021,8698,619,2438,1542,0,2485,0
03/01/2021,6680,558,3529,2951,0,1976,0
03/01/2021,7795,671,2927,3350,0,1095,0
03/01/2021,9201,421,2150,3268,0,1108,0
04/01/2021,8682,575,2206,3727,0,2322,0
04/01/2021,9180,584,2432,2878,0,2403,0
04/01/2021,7996,391,3384,3594,0,1914,0
04/01/2021,9997,680,1211,1765,0,1570,0
04/01/2021,6409,501,2227,2531,0,1331,0
04/01/2021,9793,336,3075,3897,0,2878,0
04/01/2021,5407,641,2585,2904,0,1414,0
04/01/2021,9216,441,3340,1209,0,1564,0
04/01/2021,6909,559,2305,2552,0,1996,0
04/01/2021,9250,506,1199,2101,0,1778,0
04/01/2021,9810,507,3374,2348,0,1773,0
04/01/2021,9119,615,2956,2836,0,1681,0
04/01/2021,5378,354,3959,2786,0,1140,0
04/01/2021,9676,507,2563,2224,0,1405,0
05/01/2021,5939,571,3341,2717,0,1242,0
05/01/2021,5307,693,2038,2395,0,1058,0
05/01/2021,8032,501,3667,1209,0,2409,0
05/01/2021,9482,488,1548,3012,0,1041,0
05/01/2021,6867,352,2452,3977,0,2044,0
05/01/2021,7092,431,2153,1209,0,1873,0
05/01/2021,7969,365,1165,3697,0,1851,0
05/01/2021,7847,412,1993,3764,0,2600,0
05/01/2021,8376,493,2624,2465,0,1249,0
05/01/2021,7192,437,2171,1425,0,2527,0
05/01/2021,9568,683,3214,3908,0,1310,0
05/01/2021,8806,663,3260,1214,0,1291,0
05/01/2021,6292,458,1744,1030,0,2427,0
05/01/2021,6362,651,3225,1080,0,2160,0
06/01/2021,9383,679,2251,1394,0,2875,0
06/01/2021,6677,411,1790,1985,0,1234,0
06/01/2021,6140,586,1920,2617,0,1921,0
06/01/2021,9217,615,2086,2792,0,2340,0
06/01/2021,5495,463,1332,3417,0,1829,0
06/01/2021,7885,505,1034,1303,0,2392,0
06/01/2021,5798,434,1445,1433,0,1080,0
06/01/2021,8294,631,3790,2904,0,2027,0
06/01/2021,9139,409,3230,2122,0,2236,0
06/01/2021,6568,390,2281,2279,0,2060,0
06/01/2021,9112,367,2969,2263,0,2932,0
06/01/2021,8701,403,2699,2047,0,1835,0
06/01/2021,7244,541,3951,2240,0,2416,0
06/01/2021,8264,618,2867,1413,0,1124,0
07/01/2021,6966,585,1349,2663,0,2315,0
07/01/2021,7891,559,3157,3438,0,2946,0
07/01/2021,9706,319,1625,3931,0,2502,0
07/01/2021,6864,366,2791,1539,0,2011,0
07/01/2021,7483,641,3210,2542,0,1140,0
07/01/2021,6777,615,3648,1031,0,1881,0
07/01/2021,7441,655,3212,1387,0,2956,0
07/01/2021,9341,527,3092,1325,0,1508,0
07/01/2021,5015,526,2023,2576,0,1308,0
07/01/2021,9168,655,1380,1192,0,2801,0
07/01/2021,9803,621,1552,2381,0,2981,0
07/01/2021,5949,561,2763,2546,0,1382,0
07/01/2021,8911,377,3672,2568,0,1620,0
07/01/2021,8409,575,1201,1066,0,2011,0
08/01/2021,6901,556,3998,2548,0,2631,0
08/01/2021,9262,331,3043,1323,0,1398,0
08/01/2021,5206,501,2884,1112,0,1501,0
08/01/2021,9344,397,2503,2061,0,1574,0
08/01/2021,5668,551,2059,3630,0,2399,0
08/01/2021,5797,450,2003,3313,0,2296,0
08/01/2021,8616,557,2003,2890,0,1465,0
08/01/2021,6713,464,1620,2370,0,2450,0
08/01/2021,9624,451,3189,1565,0,1431,0
08/01/2021,9578,331,2334,3364,0,1154,0
08/01/2021,7493,513,2316,1172,0,2045,0
08/01/2021,9459,356,2245,3409,0,1439,0
08/01/2021,6812,371,2374,3732,0,1886,0
08/01/2021,5460,447,2592,2880,0,2282,0
09/01/2021,6648,699,3594,1593,0,1530,0
09/01/2021,6562,303,1043,3646,0,1259,0
09/01/2021,7018,459,3642,2341,0,1028,0
09/01/2021,8715,327,1597,2573,0,2113,0
09/01/2021,5158,555,1050,2520,0,1063,0
09/01/2021,6386,478,3959,3191,0,2842,0
09/01/2021,9051,534,3261,2006,0,1770,0
09/01/2021,7306,677,1388,3215,0,2899,0
09/01/2021,5924,586,2507,3127,0,1512,0
09/01/2021,8011,497,3882,3567,0,2273,0
09/01/2021,7807,629,1707,2767,0,1298,0
09/01/2021,8836,608,2084,3533,0,2337,0
09/01/2021,7096,345,1916,3185,0,2405,0
09/01/2021,8780,570,1056,1822,0,1109,0
10/01/2021,7621,700,3378,3903,0,2475,0
10/01/2021,5750,320,2513,2752,0,2030,0
10/01/2021,6006,606,2221,3442,0,1373,0
10/01/2021,8458,589,2325,2783,0,2394,0
10/01/2021,7184,451,2137,3263,0,2618,0
10/01/2021,6443,458,3439,3509,0,2677,0
10/01/2021,8925,646,2320,3538,0,2035,0
10/01/2021,5376,460,2365,1709,0,2104,0
10/01/2021,8708,681,1374,1741,0,1304,0
10/01/2021,9316,389,3537,1599,0,2772,0
10/01/2021,8566,381,1239,2927,0,1041,0
10/01/2021,6656,519,1708,3590,0,1628,0
10/01/2021,9692,306,2139,3669,0,1760,0
10/01/2021,5837,452,2444,1817,0,1474,0
11/01/2021,7351,591,1124,3905,0,2250,0
11/01/2021,5261,543,2032,1313,0,1800,0
11/01/2021,6577,357,1055,2467,0,1599,0
11/01/2021,9633,429,2536,3581,0,1175,0
11/01/2021,7297,476,2828,3836,0,1211,0
11/01/2021,8174,305,3651,2691,0,1510,0
11/01/2021,7737,489,1212,1603,0,2130,0
11/01/2021,6059,535,1907,3733,0,1994,0
11/01/2021,8746,578,3929,3725,0,2061,0
11/01/2021,6837,528,1423,2502,0,1231,0
11/01/2021,7963,384,1257,1133,0,2792,0
11/01/2021,5706,546,3916,2749,0,1061,0
11/01/2021,8970,324,2582,1424,0,1879,0
12/01/2021,5467,482,1123,3684,0,2611,0
12/01/2021,7938,510,2027,2337,0,1694,0
12/01/2021,7933,495,3270,1204,0,1872,0
12/01/2021,9377,509,2488,2838,0,1801,0
12/01/2021,9829,652,1956,2790,0,2778,0
12/01/2021,5278,415,2536,1913,0,1514,0
12/01/2021,6333,342,2737,2382,0,2066,0
12/01/2021,8735,324,1160,3053,0,1999,0
12/01/2021,8816,465,3721,3160,0,1937,0
12/01/2021,5435,569,1411,2972,0,1028,0
12/01/2021,6363,455,3931,3447,0,2048,0
12/01/2021,5570,323,1763,1758,0,1267,0
13/01/2021,9071,618,3752,1419,0,1653,0
13/01/2021,6430,552,2780,3881,0,1999,0
13/01/2021,9216,367,1689,2195,0,1292,0
13/01/2021,5504,679,2847,1615,0,1452,0
13/01/2021,8794,575,1210,1604,0,2813,0
13/01/2021,5955,561,2554,3303,0,1350,0
13/01/2021,7505,336,3315,1785,0,2799,0
13/01/2021,6652,559,2937,1474,0,2324,0
13/01/2021,7679,666,2717,2642,0,1439,0
13/01/2021,7339,418,2537,2261,0,1518,0
13/01/2021,5847,386,1101,1797,0,2730,0
14/01/2021,6433,584,1373,3462,0,1149,0
14/01/2021,5593,558,3624,2080,0,2220,0
14/01/2021,7932,403,1191,3103,0,2515,0
14/01/2021,6711,409,1334,3398,0,1640,0
14/01/2021,7306,363,2533,1314,0,1033,0
14/01/2021,7490,642,1279,3548,0,1541,0
14/01/2021,8467,539,1379,1893,0,1410,0
