Fecha,Ruta,Efectivo,Tarifa Incompleta,Overpay,Monto Pasajes,Monto Tarjeta Gral,Monto Tarjeta Per,Monto Tarjeta Bpd,Recargas,Recargas Error,Monto Total Efectivo,Monto Total Tarjetas,Pasajes Efectivo,Pasajes Tarjeta Gral,Pasajes Tarjeta Per,Pasajes Bpd,Total Pasajes Tarjeta,Total Pasajes,Ingreso Total
01/01/2021,A03,2035.5,0,97.5,1938,446.5,166.25,0,0,0,2035.5,612.75,204,80,47,0,127,331,2648.25
01/01/2021,A06,4960,0,238.5,4721.5,1643.5,251.75,0,0,0,4960,1895.25,497,244,53,0,297,794,6855.25
01/01/2021,A07,408,0,18.5,389.5,190,57,0,0,0,408,247,41,30,12,0,42,83,655
01/01/2021,A08,6025,0,287,5738,940.5,237.5,0,0,0,6025,1178,604,189,52,0,241,845,7203
01/01/2021,A09,851.5,0,44,807.5,123.5,19,0,0,0,851.5,142.5,85,17,7,0,24,109,994
01/01/2021,A13,570,0,28.5,541.5,133,28.5,0,0,0,570,161.5,57,37,6,0,43,100,731.5
01/01/2021,A15,581,0,30,551,275.5,71.25,0,0,0,581,346.75,58,52,16,0,68,126,927.75
01/01/2021,A16,2708.5,0,153,2555.5,522.5,228,0,0,0,2708.5,750.5,269,77,50,0,127,396,3459
01/01/2021,A17,1597.5,0,58.5,1539,332.5,147.25,0,0,0,1597.5,479.75,162,68,31,0,99,261,2077.25
01/01/2021,A18,2714.5,0,121,2593.5,1083,218.5,0,0,0,2714.5,1301.5,273,179,46,0,225,498,4016
01/01/2021,A19,19716.5,0,878,18838.5,3923.5,574.75,0,0,0,19716.5,4498.25,1983,694,147,0,841,2824,24214.75
01/01/2021,A20,5171.5,0,269.5,4902,1178,166.25,0,0,0,5171.5,1344.25,516,221,35,0,256,772,6515.75
02/01/2021,A03,2933,0,130.5,2802.5,788.5,223.25,0,0,0,2933,1011.75,295,125,58,0,183,478,3944.75
02/01/2021,A06,5516,0,262.5,5253.5,2384.5,446.5,0,0,0,5516,2831,553,423,94,0,517,1070,8347
02/01/2021,A08,10666,0,491.5,10174.5,2375,513,0,0,0,10666,2888,1071,461,108,0,569,1640,13554
02/01/2021,A09,1316.5,0,53,1263.5,465.5,61.75,0,0,0,1316.5,527.25,133,65,14,0,79,212,1843.75
02/01/2021,A13,609,0,29.5,579.5,57,38,0,0,0,609,95,61,18,8,0,26,87,704
02/01/2021,A15,1012.5,0,43.5,969,693.5,123.5,0,0,0,1012.5,817,102,142,26,0,168,270,1829.5
02/01/2021,A16,6086,0,310,5776,1368,441.75,0,0,0,6086,1809.75,608,165,93,0,258,866,7895.75
02/01/2021,A17,1781,0,80.5,1700.5,560.5,156.75,0,0,0,1781,717.25,179,90,33,0,123,302,2498.25
02/01/2021,A18,5088.5,0,234,4854.5,2109,413.25,0,0,0,5088.5,2522.25,511,327,87,0,414,925,7610.75
02/01/2021,A19,25951.5,0,1204,24747.5,7761.5,1068.75,0,0,0,25951.5,8830.25,2605,1237,256,0,1493,4098,34781.75
02/01/2021,A20,10562,0,511,10051,2669.5,503.5,0,0,0,10562,3173,1058,581,116,0,697,1755,13735
03/01/2021,A03,2725,0,122,2603,522.5,166.25,0,0,0,2725,688.75,274,76,44,0,120,394,3413.75
03/01/2021,A05,445,0,17.5,427.5,104.5,23.75,0,0,0,445,128.25,45,20,7,0,27,72,573.25
03/01/2021,A06,4660.5,0,224,4436.5,1453.5,465.5,0,0,0,4660.5,1919,467,260,98,0,358,825,6579.5
03/01/2021,A08,8534.5,0,402.5,8132,2631.5,555.75,0,0,0,8534.5,3187.25,856,438,126,0,564,1420,11721.75
03/01/2021,A09,933.5,0,40.5,893,114,38,0,0,0,933.5,152,94,23,8,0,31,125,1085.5
03/01/2021,A13,723.5,0,30,693.5,361,38,0,0,0,723.5,399,73,45,8,0,53,126,1122.5
03/01/2021,A15,1251.5,0,54.5,1197,722,142.5,0,0,0,1251.5,864.5,126,131,30,0,161,287,2116
03/01/2021,A16,3836.5,0,198,3638.5,636.5,356.25,0,0,0,3836.5,992.75,383,76,76,0,152,535,4829.25
03/01/2021,A17,783,0,32.5,750.5,408.5,171,0,0,0,783,579.5,79,78,36,0,114,193,1362.5
03/01/2021,A18,2910,0,145.5,2764.5,1225.5,304,0,0,0,2910,1529.5,291,173,64,0,237,528,4439.5
03/01/2021,A19,22419,0,977.5,21441.5,4987.5,693.5,0,0,0,22419,5681,2257,860,161,0,1021,3278,28100
03/01/2021,A20,7014.5,0,355,6659.5,2261,285,0,0,0,7014.5,2546,701,386,61,0,447,1148,9560.5
04/01/2021,A03,371.5,0,20,351.5,294.5,114,0,0,0,371.5,408.5,37,44,24,0,68,105,780
04/01/2021,A05,2303,0,118,2185,589,280.25,0,0,0,2303,869.25,230,142,69,0,211,441,3172.25
04/01/2021,A06,8326,0,374.5,7951.5,5386.5,1254,0,0,0,8326,6640.5,837,975,274,0,1249,2086,14966.5
04/01/2021,A07,1582.5,0,72,1510.5,503.5,337.25,0,0,0,1582.5,840.75,159,111,78,0,189,348,2423.25
04/01/2021,A08,12376,0,634,11742,3648,850.25,0,0,0,12376,4498.25,1236,792,192,0,984,2220,16874.25
04/01/2021,A09,2013,0,103.5,1909.5,446.5,71.25,0,0,0,2013,517.75,201,104,18,0,122,323,2530.75
04/01/2021,A13,279.5,0,13.5,266,142.5,57,0,0,0,279.5,199.5,28,33,12,0,45,73,479
04/01/2021,A14,425,0,16.5,408.5,76,38,0,0,0,425,114,43,10,8,0,18,61,539
04/01/2021,A15,1441,0,73,1368,1206.5,256.5,0,0,0,1441,1463,144,321,56,0,377,521,2904
04/01/2021,A16,11280.5,0,545.5,10735,2413,845.5,0,0,0,11280.5,3258.5,1130,392,183,0,575,1705,14539
04/01/2021,A17,1755,0,83,1672,712.5,175.75,0,0,0,1755,888.25,176,158,37,0,195,371,2643.25
04/01/2021,A18,8361.5,0,362.5,7999,3648,745.75,0,0,0,8361.5,4393.75,842,628,157,0,785,1627,12755.25
04/01/2021,A19,32337.5,0,1557.5,30780,11846.5,1572.25,0,0,0,32337.5,13418.75,3240,2209,394,0,2603,5843,45756.25
04/01/2021,A20,10845.5,0,528.5,10317,5073,669.75,0,0,0,10845.5,5742.75,1086,959,159,0,1118,2204,16588.25
05/01/2021,A03,617,0,28,589,104.5,99.75,0,0,0,617,204.25,62,31,22,0,53,115,821.25
05/01/2021,A05,1970.5,0,99,1871.5,655.5,147.25,0,0,0,1970.5,802.75,197,154,45,0,199,396,2773.25
05/01/2021,A06,7350.5,0,330,7020.5,5092,1011.75,0,0,0,7350.5,6103.75,739,990,226,0,1216,1955,13454.25
05/01/2021,A07,2112.5,0,98.5,2014,1026,232.75,0,0,0,2112.5,1258.75,212,199,53,0,252,464,3371.25
05/01/2021,A08,12712,0,590,12122,4085,665,0,0,0,12712,4750,1276,835,152,0,987,2263,17462
05/01/2021,A09,2378,0,117,2261,855,123.5,0,0,0,2378,978.5,238,130,29,0,159,397,3356.5
