Fecha,Efectivo,Overpay,Monto Tarjeta Gral,Monto Tarjeta Per,Monto Tarjeta Bpd,Recargas,Recargas Error
01/01/2021,5016,1250,3423,570,0,5759,0
01/01/2021,1979,1324,3354,380,0,6906,0
01/01/2021,2202,1118,6125,781,0,7259,0
01/01/2021,3351,1079,5236,669,0,3654,0
01/01/2021,4302,1111,6511,595,0,5037,0
01/01/2021,6864,607,3858,592,0,4280,0
01/01/2021,3627,672,6125,744,0,4135,0
01/01/2021,1724,883,2143,447,0,7655,0
01/01/2021,1541,414,3194,747,0,7802,0
01/01/2021,5718,733,2183,644,0,6064,0
01/01/2021,4293,953,6147,513,0,5832,0
01/01/2021,4373,826,3422,509,0,5808,0
01/01/2021,6790,386,2782,480,0,3164,0
01/01/2021,1632,1449,4208,735,0,4107,0
01/01/2021,3828,1002,3195,504,0,6704,0
01/01/2021,2294,1350,3596,457,0,4848,0
01/01/2021,2912,300,5384,356,0,3682,0
01/01/2021,6816,1321,3469,450,0,5666,0
01/01/2021,3030,240,2150,672,0,5293,0
01/01/2021,2370,362,1882,412,0,7508,0
01/01/2021,6394,1309,4222,741,0,3274,0
01/01/2021,1514,1334,3484,423,0,6890,0
01/01/2021,2902,330,3069,407,0,7658,0
01/01/2021,1574,557,5854,623,0,3014,0
01/01/2021,3058,1043,4054,487,0,5439,0
01/01/2021,6764,785,6515,655,0,3032,0
01/01/2021,3437,399,2728,743,0,4199,0
02/01/2021,2314,727,4055,679,0,5635,0
02/01/2021,3222,902,3793,797,0,6958,0
02/01/2021,4985,1355,3058,521,0,6550,0
02/01/2021,1935,501,5382,423,0,3018,0
02/01/2021,3827,1133,2054,451,0,6795,0
02/01/2021,3558,987,5667,385,0,3063,0
02/01/2021,4973,1130,6109,640,0,5503,0
02/01/2021,6326,642,5488,484,0,7006,0
02/01/2021,3922,402,6068,700,0,3564,0
02/01/2021,2282,1058,5840,492,0,5016,0
02/01/2021,3408,1326,5588,394,0,7006,0
02/01/2021,2945,1009,3510,565,0,3932,0
02/01/2021,3169,1314,5573,409,0,6609,0
02/01/2021,2682,515,4503,342,0,4093,0
02/01/2021,5669,756,4267,515,0,4002,0
02/01/2021,2653,817,5112,542,0,7919,0
02/01/2021,2896,1163,4068,304,0,5330,0
02/01/2021,6388,214,2930,588,0,6039,0
02/01/2021,4105,301,6769,575,0,7754,0
02/01/2021,5823,1307,1559,509,0,7441,0
02/01/2021,2223,1055,3662,414,0,3596,0
02/01/2021,6273,302,3324,583,0,5517,0
02/01/2021,5914,571,4078,303,0,4436,0
02/01/2021,4784,1302,1639,482,0,6277,0
02/01/2021,4593,1227,6379,501,0,3300,0
02/01/2021,6490,1374,5641,597,0,5132,0
02/01/2021,6732,1192,6983,535,0,7651,0
03/01/2021,6589,548,6349,475,0,5384,0
03/01/2021,4113,833,3227,609,0,6139,0
03/01/2021,2705,925,3005,432,0,4083,0
03/01/2021,5248,523,2952,534,0,7365,0
03/01/2021,4282,1186,5670,374,0,7326,0
03/01/2021,6910,296,4279,470,0,6840,0
03/01/2021,3973,445,3710,642,0,5100,0
03/01/2021,1810,333,2324,416,0,6903,0
03/01/2021,3462,1325,5484,777,0,4919,0
03/01/2021,4970,472,5194,673,0,7259,0
03/01/2021,3421,232,4971,669,0,3308,0
03/01/2021,4611,1152,5083,547,0,7020,0
03/01/2021,3827,649,6665,324,0,4015,0
03/01/2021,4357,1210,6207,564,0,3638,0
03/01/2021,1822,1174,3291,509,0,3803,0
03/01/2021,3866,974,4404,436,0,4823,0
03/01/2021,1652,890,5777,610,0,6475,0
03/01/2021,1603,810,2529,695,0,3814,0
03/01/2021,1757,551,6701,428,0,4098,0
03/01/2021,3317,318,4292,500,0,5665,0
03/01/2021,4309,299,5340,589,0,6970,0
03/01/2021,3876,1169,4587,418,0,7275,0
03/01/2021,2048,324,5798,752,0,7783,0
03/01/2021,6168,244,6772,612,0,5750,0
03/01/2021,4294,723,3876,537,0,3089,0
03/01/2021,4856,913,4687,367,0,5827,0
03/01/2021,1578,702,6743,564,0,7735,0
04/01/2021,6223,612,6421,393,0,6395,0
04/01/2021,1616,213,3870,666,0,6333,0
04/01/2021,6309,1500,2643,476,0,5490,0
04/01/2021,6146,854,5727,759,0,5886,0
04/01/2021,4181,398,2353,573,0,5533,0
04/01/2021,6054,276,2022,418,0,4185,0
04/01/2021,2989,1080,6208,368,0,7852,0
04/01/2021,4729,587,5644,794,0,3432,0
04/01/2021,4022,261,6074,691,0,5748,0
04/01/2021,5777,817,2810,746,0,6121,0
04/01/2021,5607,996,5131,390,0,5428,0
04/01/2021,6694,307,2151,479,0,4371,0
04/01/2021,5016,929,4034,525,0,7964,0
04/01/2021,5128,872,4477,436,0,6390,0
04/01/2021,4513,300,5511,776,0,6171,0
04/01/2021,1533,323,4196,713,0,4311,0
04/01/2021,1759,1097,4226,724,0,4183,0
04/01/2021,6741,578,6542,425,0,4936,0
04/01/2021,5580,502,4927,716,0,6175,0
04/01/2021,4728,1358,5247,531,0,6437,0
04/01/2021,2438,403,2190,508,0,3593,0
04/01/2021,3407,392,3892,694,0,3073,0
04/01/2021,2107,1117,1565,621,0,4070,0
04/01/2021,4354,480,5384,367,0,7913,0
04/01/2021,3530,1464,3171,706,0,3646,0
04/01/2021,4464,787,4737,677,0,3397,0
04/01/2021,2187,670,5579,701,0,3335,0
05/01/2021,5474,1396,2716,682,0,5308,0
05/01/2021,5382,575,1823,635,0,7569,0
05/01/2021,1688,487,4725,405,0,3881,0
05/01/2021,1727,1185,1878,582,0,6760,0
05/01/2021,4903,507,6075,695,0,3232,0
05/01/2021,6122,483,5643,675,0,7338,0
05/01/2021,6293,1491,6787,753,0,4440,0
05/01/2021,2372,213,1895,591,0,5560,0
05/01/2021,3448,1108,5058,468,0,7097,0
05/01/2021,5965,281,4696,358,0,6669,0
05/01/2021,3558,681,1681,412,0,7503,0
05/01/2021,5878,1492,4239,740,0,5668,0
05/01/2021,1560,1452,2689,728,0,3093,0
05/01/2021,3718,1292,5036,734,0,7523,0
05/01/2021,3651,1174,6276,419,0,4623,0
05/01/2021,1748,799,6232,787,0,7091,0
05/01/2021,5828,1158,2787,415,0,5895,0
05/01/2021,5671,1461,4961,675,0,5163,0
05/01/2021,2958,449,4709,353,0,7537,0
05/01/2021,1716,739,3764,550,0,6983,0
05/01/2021,5497,547,2744,671,0,6425,0
05/01/2021,3968,453,5615,313,0,3377,0
05/01/2021,4197,1170,6678,491,0,3238,0
05/01/2021,6097,917,4143,304,0,4244,0
05/01/2021,1808,840,3272,600,0,3639,0
05/01/2021,3402,1225,2185,637,0,5906,0
05/01/2021,4015,758,1700,617,0,5485,0
06/01/2021,3907,1224,3747,676,0,7428,0
06/01/2021,3790,1150,2123,525,0,6006,0
06/01/2021,4910,997,4590,554,0,6927,0
06/01/2021,1883,947,2554,734,0,6916,0
06/01/2021,2136,286,1828,383,0,6662,0
06/01/2021,2816,666,1606,494,0,7324,0
06/01/2021,2675,247,6005,732,0,6691,0
06/01/2021,6488,1167,6955,698,0,7171,0
06/01/2021,2874,632,5070,725,0,7843,0
06/01/2021,6918,1189,2156,408,0,7020,0
06/01/2021,2966,595,4511,790,0,6071,0
06/01/2021,3093,284,5915,437,0,3180,0
06/01/2021,3574,882,5282,446,0,3213,0
06/01/2021,5398,1466,1758,554,0,6618,0
06/01/2021,2599,1423,4216,471,0,6947,0
06/01/2021,5673,944,2453,682,0,3795,0
06/01/2021,6566,1314,1530,791,0,4439,0
06/01/2021,6455,1028,6575,443,0,4480,0
06/01/2021,4594,659,5462,496,0,3564,0
06/01/2021,5769,452,6142,639,0,3390,0
06/01/2021,5482,1290,2917,587,0,3596,0
06/01/2021,3750,297,4000,655,0,6627,0
06/01/2021,6778,348,1827,663,0,7903,0
06/01/2021,4113,759,4512,666,0,7381,0
06/01/2021,4295,247,3736,457,0,6095,0
06/01/2021,2465,957,4098,759,0,7718,0
06/01/2021,6081,637,6905,765,0,7522,0
07/01/2021,3642,1490,4592,789,0,4620,0
07/01/2021,3003,358,6607,337,0,3689,0
07/01/2021,4130,851,4424,482,0,7281,0
07/01/2021,1550,1420,6174,462,0,4351,0
07/01/2021,3774,796,6106,433,0,3541,0
07/01/2021,4834,1160,4892,576,0,3892,0
07/01/2021,4650,1030,6891,314,0,5459,0
07/01/2021,4208,873,3663,508,0,5852,0
07/01/2021,4883,618,5501,475,0,7446,0
07/01/2021,6802,1166,3108,583,0,5122,0
07/01/2021,3032,710,6154,715,0,6874,0
07/01/2021,5552,465,6592,794,0,7144,0
07/01/2021,6855,242,4330,497,0,3933,0
07/01/2021,5864,1351,6301,604,0,4214,0
07/01/2021,6930,623,3757,781,0,5122,0
07/01/2021,4437,456,4615,429,0,7351,0
07/01/2021,4611,549,3526,484,0,4010,0
07/01/2021,1902,1316,2380,320,0,4188,0
07/01/2021,5233,845,3381,339,0,5211,0
07/01/2021,6734,763,2321,422,0,7345,0
07/01/2021,5997,695,6883,334,0,4355,0
07/01/2021,6962,1345,4223,753,0,5209,0
07/01/2021,5850,817,5493,483,0,7818,0
07/01/2021,6425,898,6929,545,0,5992,0
07/01/2021,4502,558,5613,720,0,4524,0
07/01/2021,3093,1458,3824,776,0,7547,0
07/01/2021,5888,1311,6159,512,0,5940,0
08/01/2021,2339,960,2731,642,0,7445,0
08/01/2021,3245,1417,6076,434,0,6395,0
08/01/2021,2980,516,3212,459,0,5549,0
08/01/2021,3837,1199,2966,697,0,7271,0
08/01/2021,5271,1211,4140,491,0,4606,0
08/01/2021,6607,386,3426,334,0,3923,0
08/01/2021,3363,806,4922,382,0,4689,0
08/01/2021,4641,1057,2450,339,0,7557,0
08/01/2021,4376,1091,3461,356,0,5079,0
08/01/2021,4528,502,5080,755,0,6815,0
08/01/2021,1528,733,1516,647,0,3073,0
08/01/2021,5336,1064,3995,469,0,7218,0
08/01/2021,3305,352,3499,727,0,4347,0
08/01/2021,4722,940,3819,443,0,7784,0
08/01/2021,5080,1151,4283,745,0,4317,0
08/01/2021,4932,979,5259,559,0,5186,0
08/01/2021,2154,661,4945,797,0,4049,0
08/01/2021,5044,624,4402,718,0,3369,0
08/01/2021,3428,586,5431,505,0,3063,0
08/01/2021,4762,933,4889,567,0,6194,0
08/01/2021,2160,677,3170,475,0,5548,0
08/01/2021,1993,1037,3166,503,0,6491,0
08/01/2021,4775,267,3081,350,0,6985,0
08/01/2021,4529,674,3738,785,0,4834,0
08/01/2021,2322,1187,2471,687,0,3880,0
08/01/2021,4787,743,5613,604,0,6201,0
08/01/2021,4225,509,6256,478,0,3339,0
09/01/2021,2751,512,5544,359,0,4486,0
09/01/2021,3744,1417,6349,358,0,5367,0
09/01/2021,6877,953,2100,538,0,4937,0
09/01/2021,2854,690,5132,783,0,5476,0
09/01/2021,4163,1050,5822,574,0,4902,0
09/01/2021,4412,270,5007,559,0,6162,0
09/01/2021,5886,738,4565,475,0,7603,0
09/01/2021,2587,349,4673,533,0,4208,0
09/01/2021,6358,576,2251,679,0,5395,0
09/01/2021,1981,537,4156,685,0,6386,0
09/01/2021,4061,692,5737,509,0,5246,0
09/01/2021,5699,863,5635,512,0,5165,0
09/01/2021,2131,1249,6202,736,0,4784,0
09/01/2021,3999,1079,4494,491,0,7267,0
09/01/2021,5357,948,6170,697,0,7886,0
09/01/2021,2832,441,2768,745,0,5669,0
09/01/2021,2740,306,6236,583,0,5576,0
09/01/2021,4183,576,4843,558,0,7878,0
09/01/2021,2296,513,3745,702,0,3049,0
09/01/2021,2191,1176,4740,628,0,7430,0
09/01/2021,2637,986,5590,687,0,6295,0
09/01/2021,2454,480,4116,306,0,3949,0
09/01/2021,3304,1347,6523,437,0,3241,0
09/01/2021,1858,961,4953,407,0,7124,0
09/01/2021,6381,587,2817,423,0,7873,0
09/01/2021,6675,1272,6928,360,0,7741,0
09/01/2021,2051,940,4915,545,0,5480,0
10/01/2021,3397,1488,1784,530,0,4354,0
10/01/2021,6046,669,4715,712,0,3292,0
10/01/2021,1674,1453,2865,351,0,4358,0
10/01/2021,3146,609,6622,332,0,6779,0
10/01/2021,3028,1244,3090,553,0,6034,0
10/01/2021,4133,1129,1825,784,0,7170,0
10/01/2021,5808,650,6459,477,0,4301,0
10/01/2021,1984,633,2773,509,0,5397,0
10/01/2021,2802,719,1817,614,0,5866,0
10/01/2021,2896,615,3529,411,0,5182,0
10/01/2021,3739,381,3364,697,0,3934,0
10/01/2021,1676,1260,6616,413,0,5059,0
10/01/2021,4093,1078,3406,330,0,4020,0
10/01/2021,5785,1373,6971,516,0,5089,0
10/01/2021,2165,421,6162,621,0,6097,0
10/01/2021,2832,297,6581,607,0,4167,0
10/01/2021,6429,1040,2833,616,0,5751,0
10/01/2021,4996,1292,2905,625,0,6817,0
10/01/2021,3443,1070,3441,348,0,4473,0
10/01/2021,5057,1272,5146,573,0,3958,0
10/01/2021,2755,320,6627,563,0,3310,0
10/01/2021,2901,1315,3732,783,0,4931,0
10/01/2021,2734,1495,2844,788,0,3016,0
10/01/2021,5063,1237,5860,571,0,7444,0
10/01/2021,6593,994,1522,631,0,7113,0
10/01/2021,1862,262,4666,598,0,5854,0
10/01/2021,3216,339,3462,309,0,7933,0
11/01/2021,3331,1201,6571,508,0,3156,0
11/01/2021,2024,307,3524,645,0,3818,0
11/01/2021,2114,1277,5240,388,0,4189,0
11/01/2021,3231,1089,1947,634,0,4403,0
11/01/2021,6207,1136,4241,796,0,3738,0
11/01/2021,1529,1491,4162,618,0,3921,0
11/01/2021,3439,961,1520,577,0,3900,0
11/01/2021,1972,1324,4920,587,0,5531,0
11/01/2021,1681,1126,6739,303,0,6154,0
11/01/2021,5365,1416,3711,300,0,7023,0
