Fecha,Efectivo,Overpay,Monto Pasajes,Monto Tarjeta Gral,Monto Tarjeta Per,Monto Tarjeta Bpd,Recargas,Recargas Error,Monto Total Efectivo,Monto Total Tarjetas,Ingreso_Total
2021-01-02,185965.5,7384.5,178581.0,129105.0,19646.0,0.0,299526.6,2318.0,491850.1,148751.0,636561.1
2021-01-04,302747.3,11648.3,291099.0,239219.5,37648.5,0.0,593271.25,5263.5,907732.05,276868.0,1178150.05
2021-01-05,273635.5,10523.5,263112.0,242596.75,35544.25,0.0,469742.35,3725.0,752662.85,278141.0,1025243.85
2021-01-06,280907.8,10860.8,270047.0,241675.25,35387.5,0.0,423202.7,3089.5,712240.0,277062.75,984262.75
2021-01-07,273954.2,10671.2,263283.0,240202.75,34190.5,0.0,420795.95,3160.0,702000.15,274393.25,972303.3999999999
2021-01-08,290559.8,11240.8,279319.0,249099.5,34803.25,0.0,467510.1,4026.0,767317.9,283902.75,1045998.65
2021-01-09,242748.2,9599.2,233149.0,181288.5,23821.25,0.0,388182.85,4177.0,639480.05,205109.75,840217.8
2021-01-11,302396.1,11544.1,290852.0,252016.0,36651.0,0.0,582039.85,3962.4,893758.35,288667.0,1177065.3499999999
2021-01-12,294276.1,11423.1,282853.0,248933.25,36632.0,0.0,436788.2,3092.5,739091.8,285565.25,1019722.05
2021-01-13,276389.1,10655.1,265734.0,245888.5,33178.75,0.0,414927.7,3553.2,698980.0,279067.25,973937.25
2021-01-14,267946.3,10420.3,257526.0,238165.0,32138.5,0.0,424015.85,3195.5,699017.65,270303.5,965461.15
2021-01-15,301179.1,11666.6,289512.5,254258.0,36261.5,0.0,519574.4,3707.9,829291.4,290519.5,1114980.9
2021-01-16,242514.8,9717.3,232797.5,187596.5,23146.75,0.0,444685.05,3855.5,695585.35,210743.25,901798.6
2021-01-18,280453.0,10938.0,269515.0,234255.75,31706.25,0.0,574181.35,4244.0,864810.35,265962.0,1124840.35
2021-01-19,262994.7,10323.2,252671.5,234483.75,31350.0,0.0,430994.95,3461.5,702631.15,265833.75,963284.8999999999
2021-01-20,246171.2,9725.7,236445.5,232783.25,30058.0,0.0,392317.35,3809.0,646807.5499999999,262841.25,905138.8
2021-01-21,246701.6,9809.6,236892.0,230873.75,29326.5,0.0,395464.85,2800.0,648969.95,260200.25,905166.7
2021-01-22,260338.2,10374.2,249964.0,233234.5,29934.5,0.0,433061.2,3263.5,700512.9,263169.0,959831.9
2021-01-23,236171.8,9682.3,226489.5,186836.5,22234.75,0.0,394058.8,3241.4,637402.0,209071.25,842543.25
2021-01-25,224805.7,8994.2,215811.5,233923.25,31388.0,0.0,551309.9,4160.5,784806.1,265311.25,1045587.3500000001
2021-01-26,243981.1,9701.6,234279.5,234859.0,30680.25,0.0,418940.9,2938.5,669670.5,265539.25,931399.75
2021-01-27,236658.1,9484.6,227173.5,231044.75,29934.5,0.0,391095.85,2534.5,633779.45,260979.25,891267.7
2021-01-28,236772.1,9361.1,227411.0,234303.25,30628.0,0.0,397547.55,3063.0,640932.65,264931.25,902313.8999999999
2021-01-29,268005.5,10698.0,257307.5,243922.0,33102.75,0.0,482212.8,4058.0,758356.3,277024.75,1031301.05
2021-01-30,236706.8,9580.8,227126.0,193553.0,24833.0,0.0,455662.8,4636.5,702312.1,218386.0,915392.1
2021-02-01,168186.6,6952.6,161234.0,125134.0,18795.75,0.0,299328.2,2266.5,472601.3,143929.75,613711.05
2021-02-02,291403.2,11561.7,279841.5,245204.5,36641.5,166.25,565663.0,3862.5,866355.7,282012.25,1142940.95
2021-02-03,274695.5,10928.0,263767.5,242929.25,34456.5,783.75,440712.45,3291.5,722661.45,278169.5,996868.95
2021-02-04,252738.7,10023.2,242715.5,243071.75,33862.75,1111.5,414265.85,3816.5,674551.05,278046.0,948867.0499999999
2021-02-05,277832.3,10977.3,266855.0,253089.5,33463.75,1463.0,457977.6,4111.5,743751.4,288016.25,1027937.65
2021-02-06,255504.3,10261.8,245242.5,198284.0,24272.5,1182.75,415472.7,3282.0,677679.0,223739.25,897998.25
2021-02-08,283901.9,11204.4,272697.5,241105.25,32922.25,2061.5,556667.65,4337.0,848926.55,276089.0,1120995.55
2021-02-09,268705.4,10390.9,258314.5,245446.75,32380.75,2603.0,435047.65,4108.5,711921.55,280430.5,988292.05
2021-02-10,267081.8,10505.8,256576.0,246487.0,31929.5,2973.5,406579.9,2661.0,680582.7,281390.0,957712.7000000001
2021-02-11,261553.4,10230.9,251322.5,240601.75,30642.25,2992.5,398831.6,3094.5,667479.5,274236.5,937716.0
2021-02-12,276179.7,10825.7,265354.0,250225.25,32860.5,3624.25,469644.85,4052.7,753678.25,286710.0,1036587.2499999999
2021-02-13,266193.5,10710.0,255483.5,207883.75,25469.5,2935.5,443988.65,3750.0,717217.15,236288.75,950220.9
2021-02-15,287933.1,11445.1,276488.0,254880.25,33991.0,4716.75,666515.85,4851.0,963989.95,293588.0,1252887.95
2021-02-16,277128.5,11138.0,265990.5,242449.5,32281.0,4431.75,483480.4,4199.5,769518.4,279162.25,1043970.65
2021-02-17,271660.7,10828.7,260832.0,258837.0,33345.0,4987.5,463370.2,3751.0,743506.9,297169.5,1035951.3999999999
2021-02-18,288249.5,11381.5,276868.0,260205.0,34000.5,5296.25,443090.5,2950.0,738130.0,299501.75,1033791.75
2021-02-19,298582.6,11882.1,286700.5,266869.25,33938.75,5434.0,490371.95,2497.0,796401.55,306242.0,1097693.55
2021-02-20,278073.2,11151.7,266921.5,217426.5,25184.5,4156.25,441656.9,2769.0,727260.1,246767.25,969266.35
2021-02-22,294180.6,11726.6,282454.0,261349.75,32979.25,6274.75,596087.1,2761.5,898009.2,300603.75,1193632.95
2021-02-23,280300.8,11127.8,269173.0,265301.75,33216.75,6593.0,459857.65,2380.0,747258.45,305111.5,1047649.9500000001
2021-02-24,288386.3,11470.8,276915.5,267045.0,32756.0,6602.5,427287.9,3162.0,722946.2,306403.5,1025239.7000000001
2021-02-25,294915.5,11673.0,283242.5,265705.5,34565.75,6958.75,445605.55,2793.0,747724.05,307230.0,1050544.05
2021-02-26,307224.5,12164.0,295060.5,274360.0,35268.75,7733.0,542823.9,3555.0,857783.4,317361.75,1170965.15
2021-02-27,300483.4,11920.9,288562.5,230603.0,27008.5,6046.75,523361.95,3453.0,832248.35,263658.25,1090956.6
2021-02-28,189170.5,7739.5,181431.0,127195.5,15570.5,4232.25,296002.3,3002.5,492065.3,146998.25,635173.55
2021-03-01,311446.1,12376.6,299069.5,271899.5,35235.5,9063.0,675225.2,3388.5,995719.8,316198.0,1306257.7999999998
2021-03-02,300309.0,11993.5,288315.5,275922.75,34409.0,8649.75,499572.7,2803.5,806975.2,318981.5,1121666.7
