ID Estación,Estacion,Fecha,Efectivo,Overpay,Monto Pasajes,Monto Tarjeta Gral,Monto Tarjeta Per,Monto Tarjeta Bpd,Recargas,Recargas Error,Monto Total Efectivo,Monto Total Tarjetas,Pasajes Efectivo,Pasajes Tarjeta Gral,Pasajes Tarjeta Per,Pasajes Bpd,Total Pasajes Tarjeta,Total Pasajes
7900011,Mirador,2021-01-01,2609.0,101.0,2508.0,2451.0,384.75,0.0,4869.7,41.0,7639.7,2835.75,264,268,86,0,354,618
7900012,Huentitan,2021-01-01,2411.5,93.5,2318.0,2166.0,337.25,0.0,4106.5,80.0,6658.0,2503.25,244,232,72,0,304,548
7900013,Zoologico,2021-01-01,3984.5,156.0,3828.5,2052.0,418.0,0.0,1130.0,41.0,5175.5,2470.0,403,216,88,0,304,707
7900014,Independencia Nte.,2021-01-01,5797.5,259.0,5538.5,4284.5,612.75,0.0,9705.4,64.0,15666.9,4897.25,583,482,139,0,621,"1,204"
7900015,San Patricio,2021-01-01,1337.5,55.0,1282.5,3781.0,584.25,0.0,8793.0,40.0,10230.5,4365.25,135,408,131,0,539,674
7900016,Igualdad,2021-01-01,2258.0,92.0,2166.0,1415.5,218.5,0.0,3024.5,10.0,5292.5,1634.0,228,149,46,0,195,423
7900017,Monumental,2021-01-01,3594.0,126.5,3467.5,1263.5,346.75,0.0,587.0,0.0,4181.0,1610.25,365,133,73,0,206,571
7900018,Monte Olivette,2021-01-01,691.5,26.5,665.0,636.5,156.75,0.0,1706.5,0.0,2398.0,793.25,70,67,33,0,100,170
7900019,Circunvalacion,2021-01-01,3770.0,150.5,3619.5,2194.5,247.0,0.0,4146.0,20.0,7996.0,2441.5,381,231,52,0,283,664
7900020,Ciencias de La Salud,2021-01-01,1940.5,88.0,1852.5,855.0,209.0,0.0,1169.0,0.0,3149.5,1064.0,195,90,44,0,134,329
7900021,Juan Alvarez,2021-01-01,2685.0,110.5,2574.5,2071.0,270.75,0.0,3901.0,27.5,6633.5,2341.75,271,218,57,0,275,546
7900022,Alameda,2021-01-01,3546.5,145.5,3401.0,1691.0,308.75,0.0,2976.0,110.0,6712.5,1999.75,358,178,65,0,243,601
7900023,San Juan de Dios,2021-01-01,9471.5,408.5,9063.0,6056.25,1201.75,0.0,9153.0,55.0,18889.5,7258.0,954,808,253,0,"1,061","2,015"
7900024,Bicentenario,2021-01-01,4483.0,179.5,4303.5,3557.75,565.25,0.0,5013.0,94.0,9690.0,4123.0,453,518,119,0,637,"1,090"
7900025,La  Paz,2021-01-01,1154.0,52.0,1102.0,427.5,61.75,0.0,961.5,0.0,2135.5,489.25,116,45,13,0,58,174
7900026,Ninos Heroes,2021-01-01,8543.5,345.0,8198.5,3762.0,470.25,0.0,6637.5,55.0,15296.0,4232.25,863,396,99,0,495,"1,358"
7900027,Agua Azul,2021-01-01,1275.5,50.0,1225.5,1102.0,104.5,0.0,2046.0,20.0,3421.5,1206.5,129,116,22,0,138,267
7900028,Cipres,2021-01-01,674.5,28.5,646.0,370.5,42.75,0.0,908.0,0.0,1602.5,413.25,68,39,9,0,48,116
7900029,Heroe de Nacozari,2021-01-01,1716.0,72.5,1643.5,826.5,175.75,0.0,1706.0,50.0,3492.0,1002.25,173,87,37,0,124,297
7900030,Lazaro Cardenas,2021-01-01,3721.4,149.4,3572.0,2897.5,389.5,0.0,5896.5,66.5,9784.4,3287.0,376,305,82,0,387,763
7900031,El Dean,2021-01-01,554.3,12.8,541.5,513.0,128.25,0.0,1090.0,0.0,1644.3,641.25,57,54,27,0,81,138
7900032,Zona Industrial,2021-01-01,811.5,32.5,779.0,522.5,95.0,0.0,697.5,0.0,1509.0,617.5,82,55,20,0,75,157
7900033,Lopez de Legazpi,2021-01-01,1447.5,60.5,1387.0,817.0,99.75,0.0,1866.0,0.0,3333.5,916.75,146,86,21,0,107,253
7900034,Clemente Orozco,2021-01-01,954.0,42.0,912.0,2764.5,479.75,0.0,7343.5,42.0,8499.5,3244.25,96,293,102,0,395,491
7900035,Artes Plasticas,2021-01-01,1407.0,58.0,1349.0,1140.0,185.25,0.0,2957.5,0.0,4424.5,1325.25,142,120,39,0,159,301
7900036,Escultura,2021-01-01,2000.5,91.0,1909.5,1805.0,285.0,0.0,7484.5,238.5,9823.5,2090.0,201,261,85,0,346,547
7900037,Fray  Angelico,2021-01-01,9454.0,400.5,9053.5,5092.0,608.0,0.0,17950.5,496.0,28380.5,5700.0,953,887,194,0,"1,081","2,034"
7900011,Mirador,2021-01-02,5654.5,230.0,5424.5,4379.5,798.0,0.0,7676.5,60.0,13551.0,5177.5,571,492,187,0,679,"1,250"
7900012,Huentitan,2021-01-02,4147.0,157.0,3990.0,3477.0,688.75,0.0,7209.5,0.0,11356.5,4165.75,420,367,146,0,513,933
7900013,Zoologico,2021-01-02,6802.0,266.0,6536.0,4987.5,712.5,0.0,8029.0,80.0,15031.0,5700.0,688,525,150,0,675,"1,363"
7900014,Independencia Nte.,2021-01-02,15596.0,671.5,14924.5,9044.0,1235.0,0.0,20610.0,139.5,36565.5,10279.0,"1,571","1,025",280,0,"1,305","2,876"
7900015,San Patricio,2021-01-02,8763.0,336.5,8426.5,7049.0,1401.25,0.0,16418.0,106.5,25377.5,8450.25,887,764,308,0,"1,072","1,959"
7900016,Igualdad,2021-01-02,4833.0,197.0,4636.0,2517.5,479.75,0.0,5082.5,0.0,9975.5,2997.25,488,265,101,0,366,854
7900017,Monumental,2021-01-02,4961.0,192.0,4769.0,3743.0,712.5,0.0,8386.5,40.0,13427.5,4455.5,502,394,150,0,544,"1,046"
