Fecha,Efectivo,Tarifa Incompleta,Monto Tarjeta Gral,Monto Tarjeta Per,Monto Tarjeta Bpd,Recargas,Recargas Error
01/01/2021,6625,761,1994,2619,0,3329,0
01/01/2021,6204,426,2876,3839,0,1911,0
01/01/2021,8214,417,983,2795,0,2182,0
01/01/2021,7755,633,4583,4252,0,1589,0
01/01/2021,4899,620,2460,2196,0,1480,0
01/01/2021,6852,454,1993,2353,0,1278,0
01/01/2021,5283,468,3465,2834,0,1788,0
01/01/2021,6845,357,3748,2395,0,3277,0
01/01/2021,5485,421,2663,2790,0,2017,0
01/01/2021,10253,484,1305,3913,0,2940,0
01/01/2021,4575,419,1951,1292,0,1794,0
01/01/2021,8358,569,4030,2670,0,2971,0
02/01/2021,10774,588,2489,1410,0,1962,0
02/01/2021,6641,703,4403,1538,0,1923,0
02/01/2021,6418,572,3357,2190,0,2564,0
02/01/2021,6495,782,3126,2323,0,2578,0
02/01/2021,5501,464,2729,1906,0,2521,0
02/01/2021,5836,737,4368,3102,0,3097,0
02/01/2021,4844,738,1569,3245,0,1124,0
02/01/2021,5470,605,2964,4218,0,2389,0
02/01/2021,8908,332,3074,2929,0,2944,0
02/01/2021,6296,516,3900,2113,0,3055,0
02/01/2021,8112,611,4104,1125,0,2502,0
03/01/2021,9039,733,954,3163,0,2747,0
03/01/2021,8125,362,3067,3876,0,1115,0
03/01/2021,9108,754,3683,2606,0,2463,0
03/01/2021,7201,465,3433,3007,0,984,0
03/01/2021,6044,548,3728,4500,0,1648,0
03/01/2021,7843,373,3690,2645,0,2845,0
03/01/2021,7485,457,1584,1673,0,1658,0
03/01/2021,8454,533,4242,2999,0,2687,0
03/01/2021,7265,736,2607,1451,0,2631,0
03/01/2021,5227,452,3857,3033,0,2003,0
03/01/2021,9545,710,2419,2763,0,1315,0
03/01/2021,11343,442,2622,3838,0,1015,0
04/01/2021,10021,678,2533,3055,0,1962,0
04/01/2021,8283,439,2133,3074,0,2077,0
04/01/2021,6387,330,3519,3690,0,2259,0
04/01/2021,10918,585,1136,2073,0,1311,0
04/01/2021,6217,614,2406,2293,0,1331,0
04/01/2021,7942,278,3834,3476,0,2621,0
04/01/2021,5394,493,1998,3407,0,1190,0
04/01/2021,7070,449,4096,1041,0,1620,0
04/01/2021,8323,567,1812,2866,0,2350,0
04/01/2021,8134,593,1175,1777,0,1618,0
04/01/2021,10607,621,3344,2789,0,1436,0
04/01/2021,8260,627,2614,3317,0,1784,0
04/01/2021,5432,430,4091,3186,0,1277,0
04/01/2021,9902,564,2991,2215,0,1446,0
05/01/2021,5003,504,2997,2084,0,1004,0
05/01/2021,6553,841,1600,1955,0,796,0
05/01/2021,9137,543,3910,1183,0,1911,0
05/01/2021,11566,467,1743,2325,0,1261,0
05/01/2021,8223,384,3009,3109,0,2123,0
05/01/2021,7439,410,1786,983,0,1754,0
05/01/2021,9650,295,1399,3255,0,1558,0
05/01/2021,6232,457,1975,4233,0,2859,0
05/01/2021,7103,573,2277,1908,0,1414,0
05/01/2021,5557,487,2673,1770,0,2916,0
05/01/2021,8732,590,2794,3466,0,995,0
05/01/2021,8316,814,3641,1105,0,1465,0
05/01/2021,5573,349,1992,900,0,2014,0
05/01/2021,7408,597,3113,1135,0,2480,0
06/01/2021,8711,598,2465,1059,0,2373,0
06/01/2021,5946,318,1855,1582,0,1077,0
06/01/2021,6271,558,1624,2092,0,2188,0
06/01/2021,7562,653,2357,3022,0,2491,0
06/01/2021,6325,552,1617,3126,0,1404,0
06/01/2021,6208,629,1028,1262,0,1992,0
06/01/2021,7209,501,1802,1755,0,935,0
06/01/2021,9423,621,3653,2468,0,2375,0
06/01/2021,7762,455,3197,1666,0,2363,0
06/01/2021,4944,457,2479,2212,0,1735,0
06/01/2021,10549,361,2503,1883,0,2573,0
06/01/2021,9601,460,3241,1683,0,1794,0
06/01/2021,8073,536,4546,2139,0,1913,0
06/01/2021,9385,583,3401,1533,0,1075,0
07/01/2021,5482,593,1423,2321,0,2654,0
07/01/2021,7333,608,3763,4084,0,2792,0
07/01/2021,7842,355,1771,3661,0,2860,0
07/01/2021,8110,340,2807,1873,0,2136,0
07/01/2021,7944,664,3903,2532,0,1085,0
07/01/2021,6204,741,3538,1148,0,2251,0
07/01/2021,5817,811,3213,1629,0,2870,0
07/01/2021,8458,455,2581,1345,0,1685,0
07/01/2021,4577,445,2476,3027,0,1504,0
07/01/2021,10221,713,1188,1119,0,3384,0
07/01/2021,10477,595,1320,2218,0,2649,0
07/01/2021,7101,428,2212,2920,0,1175,0
07/01/2021,8787,348,3586,2236,0,1578,0
07/01/2021,6810,663,1065,1182,0,2388,0
08/01/2021,7637,639,4479,2009,0,2407,0
08/01/2021,10470,330,2750,1413,0,1240,0
08/01/2021,5366,494,3202,1358,0,1152,0
08/01/2021,10610,413,2122,2016,0,1732,0
08/01/2021,5650,474,1781,3477,0,2639,0
08/01/2021,5863,456,2310,3380,0,2680,0
08/01/2021,8304,421,1874,3207,0,1462,0
08/01/2021,5120,458,1306,2203,0,2928,0
08/01/2021,7737,414,3925,1174,0,1135,0
08/01/2021,7334,360,1958,3368,0,1190,0
08/01/2021,8004,548,1911,1125,0,2021,0
08/01/2021,8581,335,2086,3465,0,1725,0
08/01/2021,6841,280,1894,4134,0,2271,0
08/01/2021,6573,392,2146,2568,0,2826,0
09/01/2021,5815,746,4217,1597,0,1417,0
09/01/2021,6268,238,872,3196,0,1183,0
09/01/2021,7915,369,2934,2293,0,870,0
09/01/2021,7533,351,1900,2373,0,2369,0
09/01/2021,4067,626,1020,2355,0,1240,0
09/01/2021,5715,435,3280,3318,0,3342,0
09/01/2021,7518,531,3394,2196,0,2204,0
09/01/2021,8876,828,1070,2432,0,2989,0
09/01/2021,6837,717,2416,3716,0,1296,0
09/01/2021,8545,449,4057,3325,0,2388,0
09/01/2021,9257,726,2097,2966,0,1209,0
09/01/2021,10178,637,1903,2866,0,2143,0
09/01/2021,5984,427,2170,3299,0,2646,0
09/01/2021,10503,564,862,1985,0,944,0
10/01/2021,7771,796,3266,3234,0,2531,0
10/01/2021,6634,363,2165,3319,0,1666,0
10/01/2021,7195,605,2213,3885,0,1641,0
10/01/2021,7688,676,2229,2830,0,1902,0
10/01/2021,5783,397,2650,2718,0,3183,0
10/01/2021,5567,371,4157,4150,0,3346,0
10/01/2021,8600,622,2415,2775,0,1766,0
10/01/2021,6231,562,1982,1380,0,1676,0
10/01/2021,10279,681,1413,1914,0,999,0
10/01/2021,7019,415,4054,1402,0,2281,0
10/01/2021,8612,405,953,2867,0,1257,0
10/01/2021,6381,424,1652,3660,0,1815,0
10/01/2021,8345,289,1650,3592,0,1401,0
10/01/2021,4728,499,2131,1439,0,1814,0
11/01/2021,6754,730,895,4369,0,2424,0
11/01/2021,6426,453,2500,1142,0,2187,0
11/01/2021,5996,341,880,2761,0,1770,0
11/01/2021,9724,342,2092,4235,0,1102,0
11/01/2021,8038,415,3495,3906,0,949,0
11/01/2021,7617,286,3680,2969,0,1145,0
11/01/2021,9562,499,1368,1232,0,2247,0
11/01/2021,7460,463,1742,2868,0,1997,0
11/01/2021,7661,499,3994,3161,0,2143,0
11/01/2021,6828,601,1072,2325,0,1516,0
11/01/2021,7170,473,1200,953,0,3355,0
11/01/2021,5092,498,4024,2935,0,985,0
11/01/2021,6893,354,2601,1265,0,1708,0
12/01/2021,5766,424,1070,4321,0,2329,0
12/01/2021,7949,619,2319,2408,0,2067,0
12/01/2021,6154,538,3273,1131,0,2254,0
12/01/2021,8339,586,2657,3396,0,2195,0
12/01/2021,11835,505,1648,3248,0,2405,0
12/01/2021,4591,435,2994,2219,0,1491,0
12/01/2021,5209,347,2549,2654,0,1916,0
12/01/2021,8689,290,1150,3227,0,1822,0
12/01/2021,10957,410,3446,2950,0,1546,0
12/01/2021,4734,592,1687,2857,0,1203,0
12/01/2021,6911,502,4719,3701,0,1840,0
