Fecha,Efectivo,Overpay,Monto Tarjeta Gral,Monto Tarjeta Per,Monto Tarjeta Bpd,Recargas,Recargas Error
01/01/2021,4310,1342,3528,603,0,5111,0
01/01/2021,2293,1587,3279,402,0,6536,0
01/01/2021,1800,1098,7164,661,0,5592,0
01/01/2021,2659,1291,4955,790,0,4543,0
01/01/2021,4159,1290,6995,569,0,3858,0
01/01/2021,7559,558,3307,665,0,3649,0
01/01/2021,4016,734,6511,810,0,4712,0
01/01/2021,1395,1003,2526,416,0,6722,0
01/01/2021,1224,473,3316,914,0,7206,0
01/01/2021,4292,715,1873,671,0,5815,0
01/01/2021,3449,1072,6496,610,0,5874,0
01/01/2021,5299,871,3678,584,0,5650,0
01/01/2021,6196,477,2219,555,0,2404,0
01/01/2021,1350,1148,3698,832,0,3148,0
01/01/2021,4426,1033,3618,420,0,7520,0
01/01/2021,2543,1326,2887,353,0,4284,0
01/01/2021,3592,238,5756,410,0,3909,0
01/01/2021,5261,1279,4309,429,0,5056,0
01/01/2021,2486,276,2094,652,0,4336,0
01/01/2021,2624,302,1794,326,0,7984,0
01/01/2021,5845,1041,4176,841,0,2766,0
01/01/2021,1580,1578,3760,374,0,6535,0
01/01/2021,3079,372,3268,353,0,6268,0
01/01/2021,1299,605,5348,644,0,2438,0
01/01/2021,2907,1268,4127,591,0,5129,0
01/01/2021,5256,804,6734,606,0,2582,0
01/01/2021,3124,396,2477,777,0,3621,0
02/01/2021,2754,883,4140,527,0,5373,0
02/01/2021,2657,811,3382,662,0,6293,0
02/01/2021,4688,1558,3608,551,0,5418,0
02/01/2021,2300,501,4691,524,0,3061,0
02/01/2021,4247,1020,1993,446,0,6262,0
02/01/2021,3330,787,6181,291,0,2702,0
02/01/2021,5296,1348,5334,596,0,5697,0
02/01/2021,7556,524,4341,506,0,6617,0
02/01/2021,4718,419,6920,733,0,4212,0
02/01/2021,2060,1291,6748,520,0,4385,0
02/01/2021,3107,1556,6436,459,0,6420,0
02/01/2021,3191,1187,3394,478,0,3562,0
02/01/2021,2889,1421,4406,413,0,7768,0
02/01/2021,2492,592,3899,282,0,4296,0
02/01/2021,5051,598,5331,457,0,4332,0
02/01/2021,2091,916,4096,613,0,5943,0
02/01/2021,2813,1214,4024,314,0,6316,0
02/01/2021,6712,236,2888,515,0,6364,0
02/01/2021,4869,345,7940,581,0,9619,0
02/01/2021,6783,1275,1232,546,0,6815,0
02/01/2021,2096,1047,3557,510,0,2702,0
02/01/2021,7779,277,2580,554,0,6768,0
02/01/2021,4466,536,4836,248,0,4205,0
02/01/2021,5355,1252,1480,601,0,7517,0
02/01/2021,4905,1283,7041,626,0,2792,0
02/01/2021,6470,1381,6220,579,0,4323,0
02/01/2021,5996,1402,5444,635,0,7217,0
03/01/2021,6121,562,6074,471,0,5070,0
03/01/2021,3159,722,2846,518,0,7179,0
03/01/2021,3167,836,3272,395,0,4364,0
03/01/2021,6147,421,3047,639,0,6827,0
03/01/2021,3709,980,5570,408,0,7235,0
03/01/2021,8252,288,4457,544,0,7433,0
03/01/2021,4955,532,2840,760,0,4052,0
03/01/2021,1902,348,2786,440,0,7092,0
03/01/2021,3741,1007,6810,853,0,5102,0
03/01/2021,3838,382,5881,642,0,7731,0
03/01/2021,3701,289,5919,772,0,2682,0
03/01/2021,3829,1370,5347,466,0,5761,0
03/01/2021,4111,548,8128,363,0,4648,0
03/01/2021,4669,941,6261,448,0,3144,0
03/01/2021,1544,947,3213,383,0,3613,0
03/01/2021,3383,1182,4025,445,0,5797,0
03/01/2021,1396,735,5485,526,0,6344,0
03/01/2021,1204,993,2275,795,0,4555,0
03/01/2021,2015,622,5153,432,0,3636,0
03/01/2021,3381,244,3613,446,0,6425,0
03/01/2021,4389,236,5224,471,0,8565,0
03/01/2021,3059,1390,4452,467,0,6028,0
03/01/2021,2103,381,6317,567,0,7750,0
03/01/2021,6098,265,5204,493,0,5257,0
03/01/2021,4731,802,4046,432,0,2843,0
