Fecha,Unidad,Total Viajes,Total Vueltas,Km Programados,Km Vacios,Km Realizados
01/07/2021,AM-002    ,870,435,4434,0,4434
01/07/2021,AM-003    ,383,191.5,2285,133,2152
01/07/2021,AM-004    ,1842,921,6905,96,6809
01/07/2021,AM-005    ,1654,827,6795,260,6535
01/07/2021,AM-006    ,1619,809.5,7104,249,6855
01/07/2021,AM-007    ,1165,582.5,6584,498,6086
01/07/2021,AM-008    ,76,38,861,134,727
01/07/2021,AM-009    ,1789,894.5,9149,230,8919
01/07/2021,AM-010    ,1789,894.5,6997,166,6831
01/07/2021,AM-011    ,850,425,7687,628,7059
01/07/2021,AM-012    ,945,472.5,9171,810,8361
01/07/2021,AM-013    ,610,305,5391,250,5141
01/07/2021,AM-014    ,843,421.5,8177,789,7388
01/07/2021,AM-015    ,928,464,8337,610,7727
01/07/2021,AM-016    ,772,386,10042,1658,8384
01/07/2021,AM-017    ,70,35,1354,251,1103
01/07/2021,AM-018    ,673,336.5,11558,1984,9574
01/07/2021,AM-019    ,250,125,5091,930,4161
01/07/2021,AM-020    ,349,174.5,6175,1138,5037
01/07/2021,AM-021    ,571,285.5,10989,1818,9171
01/07/2021,AM-022    ,652,326,12028,1808,10220
01/07/2021,AM-023    ,257,128.5,5565,1860,3705
01/07/2021,AM-024    ,577,288.5,9853,1728,8125
01/07/2021,AM-025    ,651,325.5,11462,2176,9286
01/07/2021,AM-026    ,504,252,8903,1914,6989
01/07/2021,AM-027    ,645,322.5,10898,2278,8620
01/07/2021,AM-028    ,209,104.5,2894,483,2411
01/07/2021,AM-029    ,73,36.5,1111,219,892
01/07/2021,AM-030    ,738,369,8891,1277,7614
01/07/2021,AM-031    ,557,278.5,10347,1897,8450
01/07/2021,AM-032    ,609,304.5,12197,2647,9550
01/07/2021,AM-033    ,528,264,7427,654,6773
01/07/2021,AM-034    ,749,374.5,10149,1654,8495
01/07/2021,AM-035    ,320,160,5498,1249,4249
01/07/2021,AM-036    ,662,331,9591,1019,8572
01/07/2021,AM-037    ,778,389,10951,1056,9895
01/07/2021,AM-038    ,794,397,10485,878,9607
01/07/2021,AM-039    ,794,397,11307,1010,10297
01/07/2021,AM-040    ,426,213,6132,686,5446
01/07/2021,AM-041    ,771,385.5,9750,811,8939
01/07/2021,AM-042    ,744,372,10429,780,9649
01/07/2021,AM-043    ,1991,995.5,9939,996,8943
01/07/2021,AM-044    ,852,426,8188,922,7266
01/07/2021,AM-045    ,746,373,7825,735,7090
01/07/2021,AM-046    ,789,394.5,8271,1235,7036
01/07/2021,AM-047    ,820,410,7717,818,6899
01/07/2021,AM-048    ,575,287.5,6476,827,5649
01/07/2021,AM-049    ,677,338.5,6993,764,6229
01/07/2021,AM-050    ,381,190.5,4057,444,3613
01/07/2021,AM-051    ,622,311,9844,1276,8568
01/07/2021,AM-052    ,2381,1190.5,10473,518,9955
01/07/2021,AM-053    ,679,339.5,6891,809,6082
01/07/2021,AM-054    ,690,345,9790,2084,7706
01/07/2021,AM-056    ,82,41,1855,810,1045
01/07/2021,AM-058    ,1508,754,7219,517,6702
01/07/2021,AM-059    ,1837,918.5,8772,596,8176
01/07/2021,AM-060    ,1209,604.5,5188,564,4624
01/07/2021,AM-061    ,58,29,240,36,204
01/07/2021,AM-062    ,1472,736,7254,1187,6067
01/07/2021,AM-063    ,1367,683.5,8260,1059,7201
01/07/2021,AM-064    ,1256,628,5757,931,4826
01/07/2021,AM-065    ,1205,602.5,6065,760,5305
01/07/2021,AM-066    ,411,205.5,1759,315,1444
01/07/2021,AM-067    ,242,121,1088,150,938
01/07/2021,AM-068    ,1167,583.5,5581,827,4754
01/07/2021,AM-069    ,570,285,6025,871,5154
01/07/2021,AM-070    ,258,129,1072,160,912
01/07/2021,AM-072    ,641,320.5,9842,1747,8095
01/07/2021,AM-074    ,1655,827.5,7980,766,7214
01/07/2021,AM-075    ,598,299,6070,834,5236
01/07/2021,AM-076    ,20,10,88,16,72
01/07/2021,AM-077    ,116,58,476,28,448
01/07/2021,AM-078    ,867,433.5,8940,974,7966
01/07/2021,AM-079    ,585,292.5,5726,196,5530
01/07/2021,AM-080    ,698,349,6866,172,6694
01/07/2021,AM-081    ,1258,629,7438,605,6833
01/07/2021,AM-082    ,1283,641.5,6353,288,6065
01/07/2021,AM-083    ,409,204.5,2126,228,1898
01/07/2021,AM-084    ,1356,678,6745,315,6430
01/07/2021,AM-085    ,1259,629.5,6206,261,5945
01/07/2021,AM-086    ,933,466.5,4003,670,3333
01/07/2021,AM-087    ,470,235,4619,109,4510
01/07/2021,AM-088    ,54,27,526,6,520
01/07/2021,AM-089    ,810,405,7964,224,7740
01/07/2021,AM-090    ,1267,633.5,5136,228,4908
01/07/2021,AM-091    ,1671,835.5,8815,308,8507
01/07/2021,AM-094    ,180,90,1812,163,1649
01/07/2021,AM-095    ,1114,557,9438,388,9050
01/07/2021,AM-096    ,805,402.5,8215,1318,6897
01/07/2021,AM-097    ,14,7,137,7,130
01/07/2021,AM-098    ,1485,742.5,7772,757,7015
01/07/2021,AM-100    ,771,385.5,3096,108,2988
01/07/2021,AM-101    ,667,333.5,6508,138,6370
01/07/2021,AM-102    ,832,416,3584,592,2992
01/07/2021,AM-103    ,2358,1179,7162,264,6898
01/07/2021,TM-001    ,576,288,9186,50,9136
01/07/2021,TM-002    ,677,338.5,10826,26,10800
01/07/2021,TM-003    ,582,291,9258,218,9040
01/07/2021,TM-005    ,443,221.5,7076,36,7040
01/07/2021,TM-009    ,491,245.5,7832,120,7712
01/07/2021,TM-010    ,353,176.5,5624,88,5536
01/07/2021,TM-011    ,259,129.5,4144,0,4144
01/07/2021,TM-012    ,519,259.5,8274,82,8192
01/07/2021,TM-013    ,349,174.5,5566,110,5456
01/07/2021,TM-014    ,410,205,6536,120,6416
01/07/2021,TM-015    ,586,293,9328,128,9200
01/07/2021,TM-016    ,578,289,9236,52,9184
01/07/2021,TM-017    ,570,285,9090,130,8960
01/07/2021,TM-018    ,320,160,5096,56,5040
01/07/2021,TM-019    ,554,277,8834,50,8784
01/07/2021,TM-020    ,633,316.5,10116,52,10064
01/07/2021,TM-023    ,574,287,9160,72,9088
01/07/2021,TM-024    ,501,250.5,7956,132,7824
01/07/2021,TM-025    ,524,262,8366,46,8320
01/07/2021,TM-026    ,467,233.5,7472,0,7472
01/07/2021,TM-027    ,536,268,8564,20,8544
01/07/2021,TM-028    ,595,297.5,9502,78,9424
01/07/2021,TM-029    ,573,286.5,9150,62,9088
01/07/2021,TM-030    ,598,299,9568,16,9552
01/07/2021,TM-031    ,506,253,8078,62,8016
01/07/2021,TM-032    ,603,301.5,9612,172,9440
01/07/2021,TM-033    ,582,291,9282,130,9152
01/07/2021,TM-034    ,534,267,8514,114,8400
01/07/2021,TM-035    ,302,151,4796,172,4624
01/07/2021,TM-037    ,530,265,8456,88,8368
01/07/2021,TM-038    ,521,260.5,8270,126,8144
01/07/2021,TM-039    ,432,216,6888,40,6848
01/07/2021,TM-040    ,400,200,6394,10,6384
01/07/2021,TM-041    ,571,285.5,9106,114,8992
01/07/2021,TM-042    ,531,265.5,8412,252,8160
01/07/2021,TM-043    ,462,231,7350,134,7216
01/07/2021,TM-044    ,66,33,1050,26,1024
01/07/2021,TM-045    ,86,43,1376,0,1376
01/07/2021,TM-046    ,491,245.5,7844,36,7808
01/07/2021,TM-047    ,452,226,7178,138,7040
01/07/2021,TM-048    ,443,221.5,7046,86,6960
01/07/2021,TM-049    ,495,247.5,7842,146,7696
01/07/2021,TM-050    ,499,249.5,7930,90,7840
01/07/2021,TM-051    ,412,206,6550,102,6448
01/07/2021,TM-052    ,476,238,7586,50,7536
01/07/2021,TM-053    ,423,211.5,6720,80,6640
01/07/2021,TM-054    ,491,245.5,7838,46,7792
01/07/2021,TM-055    ,316,158,5026,50,4976
01/08/2021,AM-001    ,1,0.5,9,0,9
01/08/2021,AM-002    ,824,412,4489,90,4399
01/08/2021,AM-003    ,168,84,1319,136,1183
01/08/2021,AM-004    ,1378,689,6088,186,5902
01/08/2021,AM-005    ,1495,747.5,5782,84,5698
01/08/2021,AM-006    ,1466,733,6056,117,5939
01/08/2021,AM-007    ,1589,794.5,7567,414,7153
01/08/2021,AM-008    ,202,101,1890,147,1743
01/08/2021,AM-009    ,409,204.5,4036,515,3521
01/08/2021,AM-01     ,1799,899.5,8841,106,8735
01/08/2021,AM-010    ,1879,939.5,6485,84,6401
01/08/2021,AM-011    ,498,249,5589,801,4788
01/08/2021,AM-012    ,558,279,6157,745,5412
01/08/2021,AM-013    ,96,48,928,136,792
01/08/2021,AM-014    ,528,264,6202,845,5357
01/08/2021,AM-015    ,740,370,7126,822,6304
01/08/2021,AM-016    ,421,210.5,5795,974,4821
01/08/2021,AM-017    ,27,13.5,327,86,241
01/08/2021,AM-018    ,652,326,11594,1936,9658
01/08/2021,AM-019    ,194,97,3961,750,3211
01/08/2021,AM-02     ,1444,722,7223,108,7115
01/08/2021,AM-020    ,255,127.5,5256,1394,3862
01/08/2021,AM-021    ,513,256.5,10085,1294,8791
01/08/2021,AM-022    ,516,258,10673,2370,8303
01/08/2021,AM-023    ,242,121,5346,2040,3306
01/08/2021,AM-024    ,539,269.5,9496,2126,7370
01/08/2021,AM-025    ,511,255.5,9359,1930,7429
01/08/2021,AM-026    ,536,268,11141,2610,8531
01/08/2021,AM-027    ,426,213,7908,1574,6334
01/08/2021,AM-028    ,167,83.5,2772,523,2249
01/08/2021,AM-029    ,42,21,842,120,722
01/08/2021,AM-03     ,804,402,7287,510,6777
01/08/2021,AM-030    ,748,374,7810,744,7066
01/08/2021,AM-031    ,539,269.5,10880,1833,9047
01/08/2021,AM-032    ,626,313,12137,2211,9926
01/08/2021,AM-033    ,313,156.5,4353,325,4028
01/08/2021,AM-034    ,548,274,10193,2216,7977
01/08/2021,AM-035    ,178,89,3487,1092,2395
01/08/2021,AM-036    ,803,401.5,8874,673,8201
01/08/2021,AM-037    ,671,335.5,8914,684,8230
01/08/2021,AM-038    ,678,339,9695,748,8947
01/08/2021,AM-039    ,700,350,9685,776,8909
01/08/2021,AM-04     ,774,387,7015,490,6525
01/08/2021,AM-040    ,399,199.5,5420,503,4917
01/08/2021,AM-041    ,624,312,8634,849,7785
01/08/2021,AM-042    ,718,359,9973,865,9108
01/08/2021,AM-043    ,700,350,8505,1421,7084
01/08/2021,AM-044    ,713,356.5,7541,657,6884
01/08/2021,AM-045    ,758,379,8159,1300,6859
01/08/2021,AM-046    ,809,404.5,8882,1229,7653
01/08/2021,AM-047    ,512,256,5006,583,4423
01/08/2021,AM-048    ,382,191,4256,431,3825
01/08/2021,AM-049    ,680,340,7309,915,6394
01/08/2021,AM-05     ,754,377,6828,420,6408
01/08/2021,AM-050    ,310,155,3226,355,2871
01/08/2021,AM-051    ,402,201,6563,847,5716
01/08/2021,AM-052    ,2429,1214.5,9896,305,9591
01/08/2021,AM-053    ,693,346.5,6993,789,6204
01/08/2021,AM-054    ,558,279,9653,1683,7970
01/08/2021,AM-056    ,108,54,2437,1050,1387
01/08/2021,AM-058    ,1511,755.5,6868,450,6418
01/08/2021,AM-059    ,1637,818.5,7175,368,6807
01/08/2021,AM-06     ,690,345,6232,220,6012
01/08/2021,AM-060    ,1345,672.5,5525,409,5116
01/08/2021,AM-061    ,35,17.5,151,27,124
01/08/2021,AM-062    ,1058,529,4621,776,3845
01/08/2021,AM-063    ,1084,542,5632,610,5022
01/08/2021,AM-064    ,1113,556.5,6313,965,5348
01/08/2021,AM-065    ,1074,537,5406,984,4422
01/08/2021,AM-066    ,362,181,1522,218,1304
01/08/2021,AM-067    ,226,113,968,168,800
01/08/2021,AM-068    ,1252,626,6868,1128,5740
01/08/2021,AM-069    ,484,242,4842,749,4093
01/08/2021,AM-07     ,668,334,6038,260,5778
01/08/2021,AM-070    ,72,36,310,54,256
01/08/2021,AM-072    ,933,466.5,8596,1342,7254
01/08/2021,AM-074    ,1874,937,7953,507,7446
01/08/2021,AM-075    ,526,263,5402,672,4730
01/08/2021,AM-077    ,178,89,732,44,688
01/08/2021,AM-078    ,597,298.5,7005,859,6146
01/08/2021,AM-079    ,583,291.5,5704,174,5530
01/08/2021,AM-08     ,32,16,290,20,270
01/08/2021,AM-080    ,639,319.5,6290,140,6150
01/08/2021,AM-081    ,1294,647,7332,538,6794
01/08/2021,AM-082    ,1286,643,6368,298,6070
01/08/2021,AM-083    ,510,255,2813,263,2550
01/08/2021,AM-084    ,1354,677,6734,324,6410
01/08/2021,AM-085    ,1256,628,6192,272,5920
01/08/2021,AM-086    ,1077,538.5,4565,769,3796
01/08/2021,AM-087    ,314,157,3106,66,3040
01/08/2021,AM-088    ,114,57,1131,21,1110
01/08/2021,AM-089    ,702,351,6908,208,6700
01/08/2021,AM-09     ,4,2,87,30,57
01/08/2021,AM-090    ,1165,582.5,4728,212,4516
01/08/2021,AM-091    ,960,480,7956,573,7383
01/08/2021,AM-094    ,238,119,2453,228,2225
01/08/2021,AM-095    ,680,340,6271,272,5999
01/08/2021,AM-096    ,730,365,8021,1191,6830
01/08/2021,AM-098    ,1354,677,7148,618,6530
01/08/2021,AM-099    ,1,0.5,4,0,4
01/08/2021,AM-100    ,608,304,2432,76,2356
01/08/2021,AM-101    ,716,358,6979,129,6850
01/08/2021,AM-102    ,761,380.5,3339,655,2684
01/08/2021,AM-103    ,2336,1168,7070,248,6822
01/08/2021,AM-11     ,8,4,163,30,133
01/08/2021,AM-12     ,6,3,114,0,114
01/08/2021,AM-13     ,8,4,174,60,114
01/08/2021,AM-14     ,8,4,174,60,114
01/08/2021,AM-15     ,22,11,429,30,399
01/08/2021,AM-16     ,22,11,451,90,361
01/08/2021,AM-17     ,10,5,201,30,171
01/08/2021,AM-18     ,6,3,125,30,95
01/08/2021,AM-20     ,12,6,283,150,133
01/08/2021,AM-23     ,6,3,125,30,95
01/08/2021,AM-24     ,10,5,201,30,171
01/08/2021,AM-25     ,10,5,201,30,171
01/08/2021,AM-26     ,34,17,537,44,493
01/08/2021,AM-27     ,32,16,521,118,403
01/08/2021,AM-28     ,26,13,364,28,336
01/08/2021,AM-30     ,26,13,365,43,322
01/08/2021,AM-31     ,24,12,336,28,308
01/08/2021,AM-32     ,24,12,336,28,308
01/08/2021,AM-33     ,22,11,308,28,280
01/08/2021,AM-34     ,40,20,694,134,560
01/08/2021,AM-35     ,34,17,142,22,120
01/08/2021,AM-36     ,100,50,430,70,360
01/08/2021,AM-37     ,83,41.5,359,59,300
01/08/2021,AM-38     ,101,50.5,429,65,364
01/08/2021,AM-39     ,78,39,334,54,280
01/08/2021,AM-40     ,76,38,324,60,264
01/08/2021,AM-41     ,98,49,406,38,368
01/08/2021,AM-42     ,164,82,676,40,636
01/08/2021,AM-43     ,160,80,966,65,901
01/08/2021,AM-44     ,72,36,711,21,690
01/08/2021,AM-45     ,68,34,671,21,650
01/08/2021,AM-46     ,119,59.5,692,22,670
01/08/2021,AM-47     ,142,71,568,16,552
01/08/2021,AM-48     ,96,48,384,12,372
01/08/2021,AM-49     ,151,75.5,570,18,552
01/08/2021,AM-50     ,37,18.5,111,0,111
01/08/2021,AM-51     ,137,68.5,503,16,487
01/08/2021,AM-52     ,104,52,451,17,434
01/08/2021,AM-53     ,75,37.5,359,11,348
01/08/2021,AM-54     ,124,62,465,14,451
01/08/2021,AM-55     ,101,50.5,335,4,331
01/08/2021,AM-56     ,74,37,746,166,580
01/08/2021,AM-57     ,95,47.5,654,60,594
01/08/2021,AM-58     ,75,37.5,621,86,535
01/08/2021,AM-59     ,50,25,444,22,422
01/08/2021,AM-60     ,154,77,1221,81,1140
01/08/2021,AM-61     ,34,17,373,30,343
01/08/2021,AM-62     ,137,68.5,897,54,843
01/08/2021,AM-63     ,224,112,1234,104,1130
01/08/2021,TM-001    ,610,305,9760,0,9760
01/08/2021,TM-002    ,521,260.5,8324,52,8272
01/08/2021,TM-003    ,578,289,9218,98,9120
01/08/2021,TM-005    ,350,175,5594,10,5584
01/08/2021,TM-008    ,327,163.5,5232,48,5184
01/08/2021,TM-009    ,597,298.5,9546,74,9472
01/08/2021,TM-011    ,484,242,7678,110,7568
01/08/2021,TM-012    ,564,282,8976,144,8832
01/08/2021,TM-013    ,605,302.5,9680,32,9648
01/08/2021,TM-014    ,146,73,2330,26,2304
01/08/2021,TM-015    ,539,269.5,8582,134,8448
01/08/2021,TM-016    ,544,272,8644,164,8480
01/08/2021,TM-017    ,166,83,2638,78,2560
01/08/2021,TM-018    ,511,255.5,8116,132,7984
01/08/2021,TM-019    ,527,263.5,8426,10,8416
01/08/2021,TM-020    ,582,291,9300,52,9248
01/08/2021,TM-022    ,361,180.5,5776,16,5760
01/08/2021,TM-023    ,498,249,7956,36,7920
01/08/2021,TM-024    ,555,277.5,8880,64,8816
01/08/2021,TM-025    ,572,286,9128,120,9008
