Fecha,Unidad,Total Viajes,Total Vueltas,Km Programados,Km Vacios,Km Realizados
01/07/2021,AM-002    ,815,410.0,5267.0,0.0,5267.0
01/07/2021,AM-003    ,469,182.1,2677.0,133.0,2544.0
01/07/2021,AM-004    ,2056,1051.5,5784.0,93.0,5691.0
01/07/2021,AM-005    ,1736,1018.4,8168.0,290.0,7878.0
01/07/2021,AM-006    ,1341,658.4,6894.0,217.0,6677.0
01/07/2021,AM-007    ,965,559.4,7321.0,522.0,6799.0
01/07/2021,AM-008    ,59,37.6,996.0,160.0,836.0
01/07/2021,AM-009    ,2117,839.2,9172.0,277.0,8895.0
01/07/2021,AM-010    ,1879,833.3,6644.0,204.0,6440.0
01/07/2021,AM-011    ,938,329.9,9284.0,714.0,8570.0
01/07/2021,AM-012    ,718,516.3,7937.0,974.0,6963.0
01/07/2021,AM-013    ,753,295.3,4736.0,217.0,4519.0
01/07/2021,AM-014    ,983,357.2,7611.0,670.0,6941.0
01/07/2021,AM-015    ,795,537.3,9835.0,459.0,9376.0
01/07/2021,AM-016    ,649,444.4,12245.0,1829.0,10416.0
01/07/2021,AM-017    ,59,34.8,1164.0,306.0,858.0
01/07/2021,AM-018    ,607,302.6,13661.0,1673.0,11988.0
01/07/2021,AM-019    ,253,133.6,4476.0,994.0,3482.0
01/07/2021,AM-020    ,337,156.0,7628.0,1278.0,6350.0
01/07/2021,AM-021    ,511,247.8,11524.0,2207.0,9317.0
01/07/2021,AM-022    ,688,363.6,9064.0,1941.0,7123.0
01/07/2021,AM-023    ,211,99.0,4269.0,2297.0,1972.0
01/07/2021,AM-024    ,517,230.0,8116.0,1594.0,6522.0
01/07/2021,AM-025    ,608,245.2,9671.0,2013.0,7658.0
01/07/2021,AM-026    ,493,208.3,10094.0,1955.0,8139.0
01/07/2021,AM-027    ,737,253.0,9387.0,2145.0,7242.0
01/07/2021,AM-028    ,178,130.4,3573.0,363.0,3210.0
01/07/2021,AM-029    ,74,32.6,1187.0,244.0,943.0
01/07/2021,AM-030    ,772,304.3,9747.0,1438.0,8309.0
01/07/2021,AM-031    ,431,242.4,8887.0,2131.0,6756.0
01/07/2021,AM-032    ,642,370.9,14592.0,2442.0,12150.0
01/07/2021,AM-033    ,441,266.7,8050.0,661.0,7389.0
01/07/2021,AM-034    ,586,349.2,11998.0,1538.0,10460.0
01/07/2021,AM-035    ,392,189.9,6753.0,947.0,5806.0
01/07/2021,AM-036    ,816,313.6,7796.0,1051.0,6745.0
01/07/2021,AM-037    ,898,356.9,8742.0,857.0,7885.0
01/07/2021,AM-038    ,716,338.9,12076.0,694.0,11382.0
01/07/2021,AM-039    ,634,372.7,13377.0,1139.0,12238.0
01/07/2021,AM-040    ,465,193.5,6389.0,518.0,5871.0
01/07/2021,AM-041    ,748,419.7,9097.0,997.0,8100.0
01/07/2021,AM-042    ,603,332.9,11225.0,786.0,10439.0
01/07/2021,AM-043    ,1986,1033.9,8973.0,1237.0,7736.0
01/07/2021,AM-044    ,654,333.5,7117.0,718.0,6399.0
01/07/2021,AM-045    ,899,315.4,7779.0,766.0,7013.0
01/07/2021,AM-046    ,694,376.2,7097.0,1142.0,5955.0
01/07/2021,AM-047    ,887,499.6,7654.0,958.0,6696.0
01/07/2021,AM-048    ,521,269.9,7954.0,770.0,7184.0
01/07/2021,AM-049    ,684,366.3,8181.0,673.0,7508.0
01/07/2021,AM-050    ,390,167.2,4953.0,523.0,4430.0
01/07/2021,AM-051    ,524,253.0,11352.0,1196.0,10156.0
01/07/2021,AM-052    ,2940,927.7,9712.0,393.0,9319.0
01/07/2021,AM-053    ,772,306.5,7966.0,765.0,7201.0
01/07/2021,AM-054    ,842,285.9,11860.0,2245.0,9615.0
01/07/2021,AM-056    ,98,34.3,2270.0,711.0,1559.0
01/07/2021,AM-058    ,1582,852.3,7880.0,499.0,7381.0
01/07/2021,AM-059    ,2224,696.1,7506.0,464.0,7042.0
01/07/2021,AM-060    ,960,622.0,3994.0,589.0,3405.0
01/07/2021,AM-061    ,49,27.3,198.0,41.0,157.0
01/07/2021,AM-062    ,1137,738.4,8943.0,1136.0,7807.0
01/07/2021,AM-063    ,1248,705.0,8103.0,1017.0,7086.0
01/07/2021,AM-064    ,1186,569.4,6779.0,739.0,6040.0
01/07/2021,AM-065    ,1067,540.8,5959.0,647.0,5312.0
01/07/2021,AM-066    ,479,229.5,1900.0,261.0,1639.0
01/07/2021,AM-067    ,225,143.5,829.0,149.0,680.0
01/07/2021,AM-068    ,1039,493.8,4883.0,839.0,4044.0
01/07/2021,AM-069    ,582,227.7,5833.0,1067.0,4766.0
01/07/2021,AM-070    ,212,154.7,1142.0,126.0,1016.0
01/07/2021,AM-072    ,738,296.4,8226.0,1834.0,6392.0
01/07/2021,AM-074    ,1303,848.7,9036.0,776.0,8260.0
01/07/2021,AM-075    ,744,278.0,5658.0,841.0,4817.0
01/07/2021,AM-076    ,23,8.1,102.0,19.0,83.0
01/07/2021,AM-077    ,99,60.6,380.0,24.0,356.0
01/07/2021,AM-078    ,653,438.9,9744.0,750.0,8994.0
01/07/2021,AM-079    ,677,249.1,5134.0,213.0,4921.0
01/07/2021,AM-080    ,770,340.6,7880.0,159.0,7721.0
