Periodo,Utilidad AM,Utilidad TR
2021-07,-9598244.193,26161689.17
2021-08,-9002696.104,26379936.84
2021-09,-3987944.927,27081906.77
2021-10,-2282901.81,33830763.13
2021-11,-2688420.523,34169652.65
2021-12,4315311.997,41287136.85
2022-01,-3098351.108,30383191.45
2022-02,-1646732.707,35129220.08
2022-03,-2269548.856,39712132.99
2022-04,-424075.6205,31810238.64
2022-05,-6318056.989,37270938.01
2022-06,-3427121.882,31733481.96
2022-07,-1820382.674,33557536.93
2022-08,-1915083.682,39235262
2022-09,-2782867.008,38416664.37
2022-10,-1834999.544,41335314.09
2022-11,-1729056.283,39418920.94
2022-12,-2019311.864,37087669.98
2023-01,-2962270.215,38180318.99
2023-02,-858483.5523,37648334.85
2023-03,-2802152.137,39258264.86
2023-04,-1558732.494,32953611.55
2023-05,-2292128.136,37029673.92
2023-06,-1291091.175,34108482.2
2023-07,-1336316.239,33509009.58
2023-08,-1307587.999,37576094.89
2023-09,-6311720.291,33133294.45
2023-10,-801270.3549,39415234.34
2023-11,-6046897.935,34023320.51
2023-12,-2439777.166,35075713.61
2024-01,-2749748.88,38378420.45
2024-02,-4742181.5,35337981.56
2024-03,-2249418.922,34939888.58
2024-04,-2300539.775,36206729.61
2024-05,-3447496.274,35814055.2
2024-06,-3452875.086,31367918.57
2024-07,-3774926.494,32821972.95
2024-08,-2370720.33,37987023.13
2024-09,-1642822.721,38467074.85
2024-10,-815167.9632,41548294.71
2024-11,158102.1823,39495598.52
2024-12,-2125656.464,34311832.71
2025-01,-2056521.008,37543911.92
2025-02,-2961763.071,35385984.08
2025-03,-1660503.888,39113945.54
2025-04,-4604577.646,31062108
2025-05,-2874454.344,35794644.01
2025-06,-2602541.414,31313093.12
2025-07,-1861040.462,33314460.48
2025-08,-1318253.353,37551182.79
2025-09,-1691395.833,38374193.11
2025-10,-1497573.164,41842015.82
2025-11,-1101555.807,38148458.82
2025-12,-2989557.321,34642082.3
