Periodo,Utilidad AM,Utilidad TR
2021-07,-8996146.905,27442303.58
2021-08,-11031518.069,31944444.68
2021-09,-4450534.459,21509702.92
2021-10,-2395515.626,28688197.25
2021-11,-2226037.25,26399939.86
2021-12,3573066.51,37681331.58
2022-01,-2413745.043,28692021.84
2022-02,-1948229.825,31113054.99
2022-03,-2384291.586,46239566.83
2022-04,-468194.874,29531883.21
2022-05,-4803569.746,33188549.86
2022-06,-4232341.05,32410929.65
2022-07,-2122969.086,27532687.64
2022-08,-1639636.344,45163650.86
2022-09,-2340147.607,30244491.81
2022-10,-1544523.254,51398126.32
2022-11,-1559818.193,44784718.46
2022-12,-2044307.342,31500703.29
2023-01,-2861471.593,28740657.34
2023-02,-768870.378,43586633.6
2023-03,-2958866.551,43318695.06
2023-04,-1277766.177,36726918.18
2023-05,-2053912.586,42052200.16
2023-06,-1204821.653,26844136.99
2023-07,-1306964.042,31137672.95
2023-08,-1494034.331,30359024.56
2023-09,-5363932.749,39148700.81
2023-10,-806973.172,41845146.62
2023-11,-6326308.668,31146615.16
2023-12,-1886497.203,27421462.45
2024-01,-2897609.548,34751320.49
2024-02,-3960964.297,32249147.29
2024-03,-1760228.334,38951095.72
2024-04,-2816879.291,38696982.7
2024-05,-4250128.624,42747884.47
2024-06,-3985303.846,30932138.59
2024-07,-3406142.164,26579139.27
2024-08,-1893816.881,42037290.46
2024-09,-1794153.822,43482893.84
2024-10,-790775.078,42821276.24
2024-11,128223.892,44846604.0
2024-12,-2120530.348,34205390.48
2025-01,-1577751.114,37970651.59
2025-02,-3567918.097,34103967.89
2025-03,-1460230.499,29832580.32
2025-04,-4978750.885,24972248.58
2025-05,-2603840.386,27408481.26
2025-06,-2628655.342,33448809.08
2025-07,-1904505.322,30222145.31
2025-08,-1110532.518,37712102.59
2025-09,-2088522.574,46194210.4
2025-10,-1703588.93,36596956.56
2025-11,-1343622.113,36439082.13
2025-12,-3579736.819,39068494.09
