Fecha,Ruta,Efectivo,Tarifa Incompleta,Overpay,Monto Pasajes,Monto Tarjeta Gral,Monto Tarjeta Per,Monto Tarjeta Bpd,Recargas,Recargas Error,Monto Total Efectivo,Monto Total Tarjetas,Pasajes Efectivo,Pasajes Tarjeta Gral,Pasajes Tarjeta Per,Pasajes Bpd,Total Pasajes Tarjeta,Total Pasajes
01/01/2021,A03,"$2,035.50",$0.00,$97.50,"$1,938.00",$446.50,$166.25,$0.00,$0.00,$0.00,"$2,035.50",$612.75,204,80,47,0,127,331
01/01/2021,A06,"$4,960.00",$0.00,$238.50,"$4,721.50","$1,643.50",$251.75,$0.00,$0.00,$0.00,"$4,960.00","$1,895.25",497,244,53,0,297,794
01/01/2021,A07,$408.00,$0.00,$18.50,$389.50,$190.00,$57.00,$0.00,$0.00,$0.00,$408.00,$247.00,41,30,12,0,42,83
01/01/2021,A08,"$6,025.00",$0.00,$287.00,"$5,738.00",$940.50,$237.50,$0.00,$0.00,$0.00,"$6,025.00","$1,178.00",604,189,52,0,241,845
01/01/2021,A09,$851.50,$0.00,$44.00,$807.50,$123.50,$19.00,$0.00,$0.00,$0.00,$851.50,$142.50,85,17,7,0,24,109
01/01/2021,A13,$570.00,$0.00,$28.50,$541.50,$133.00,$28.50,$0.00,$0.00,$0.00,$570.00,$161.50,57,37,6,0,43,100
01/01/2021,A15,$581.00,$0.00,$30.00,$551.00,$275.50,$71.25,$0.00,$0.00,$0.00,$581.00,$346.75,58,52,16,0,68,126
01/01/2021,A16,"$2,708.50",$0.00,$153.00,"$2,555.50",$522.50,$228.00,$0.00,$0.00,$0.00,"$2,708.50",$750.50,269,77,50,0,127,396
01/01/2021,A17,"$1,597.50",$0.00,$58.50,"$1,539.00",$332.50,$147.25,$0.00,$0.00,$0.00,"$1,597.50",$479.75,162,68,31,0,99,261
01/01/2021,A18,"$2,714.50",$0.00,$121.00,"$2,593.50","$1,083.00",$218.50,$0.00,$0.00,$0.00,"$2,714.50","$1,301.50",273,179,46,0,225,498
01/01/2021,A19,"$19,716.50",$0.00,$878.00,"$18,838.50","$3,923.50",$574.75,$0.00,$0.00,$0.00,"$19,716.50","$4,498.25","1,983",694,147,0,841,"2,824"
01/01/2021,A20,"$5,171.50",$0.00,$269.50,"$4,902.00","$1,178.00",$166.25,$0.00,$0.00,$0.00,"$5,171.50","$1,344.25",516,221,35,0,256,772
02/01/2021,A03,"$2,933.00",$0.00,$130.50,"$2,802.50",$788.50,$223.25,$0.00,$0.00,$0.00,"$2,933.00","$1,011.75",295,125,58,0,183,478
02/01/2021,A06,"$5,516.00",$0.00,$262.50,"$5,253.50","$2,384.50",$446.50,$0.00,$0.00,$0.00,"$5,516.00","$2,831.00",553,423,94,0,517,"1,070"
02/01/2021,A08,"$10,666.00",$0.00,$491.50,"$10,174.50","$2,375.00",$513.00,$0.00,$0.00,$0.00,"$10,666.00","$2,888.00","1,071",461,108,0,569,"1,640"
02/01/2021,A09,"$1,316.50",$0.00,$53.00,"$1,263.50",$465.50,$61.75,$0.00,$0.00,$0.00,"$1,316.50",$527.25,133,65,14,0,79,212
02/01/2021,A13,$609.00,$0.00,$29.50,$579.50,$57.00,$38.00,$0.00,$0.00,$0.00,$609.00,$95.00,61,18,8,0,26,87
02/01/2021,A15,"$1,012.50",$0.00,$43.50,$969.00,$693.50,$123.50,$0.00,$0.00,$0.00,"$1,012.50",$817.00,102,142,26,0,168,270
02/01/2021,A16,"$6,086.00",$0.00,$310.00,"$5,776.00","$1,368.00",$441.75,$0.00,$0.00,$0.00,"$6,086.00","$1,809.75",608,165,93,0,258,866
02/01/2021,A17,"$1,781.00",$0.00,$80.50,"$1,700.50",$560.50,$156.75,$0.00,$0.00,$0.00,"$1,781.00",$717.25,179,90,33,0,123,302
02/01/2021,A18,"$5,088.50",$0.00,$234.00,"$4,854.50","$2,109.00",$413.25,$0.00,$0.00,$0.00,"$5,088.50","$2,522.25",511,327,87,0,414,925
02/01/2021,A19,"$25,951.50",$0.00,"$1,204.00","$24,747.50","$7,761.50","$1,068.75",$0.00,$0.00,$0.00,"$25,951.50","$8,830.25","2,605","1,237",256,0,"1,493","4,098"
02/01/2021,A20,"$10,562.00",$0.00,$511.00,"$10,051.00","$2,669.50",$503.50,$0.00,$0.00,$0.00,"$10,562.00","$3,173.00","1,058",581,116,0,697,"1,755"
03/01/2021,A03,"$2,725.00",$0.00,$122.00,"$2,603.00",$522.50,$166.25,$0.00,$0.00,$0.00,"$2,725.00",$688.75,274,76,44,0,120,394
03/01/2021,A05,$445.00,$0.00,$17.50,$427.50,$104.50,$23.75,$0.00,$0.00,$0.00,$445.00,$128.25,45,20,7,0,27,72
03/01/2021,A06,"$4,660.50",$0.00,$224.00,"$4,436.50","$1,453.50",$465.50,$0.00,$0.00,$0.00,"$4,660.50","$1,919.00",467,260,98,0,358,825
03/01/2021,A08,"$8,534.50",$0.00,$402.50,"$8,132.00","$2,631.50",$555.75,$0.00,$0.00,$0.00,"$8,534.50","$3,187.25",856,438,126,0,564,"1,420"
03/01/2021,A09,$933.50,$0.00,$40.50,$893.00,$114.00,$38.00,$0.00,$0.00,$0.00,$933.50,$152.00,94,23,8,0,31,125
03/01/2021,A13,$723.50,$0.00,$30.00,$693.50,$361.00,$38.00,$0.00,$0.00,$0.00,$723.50,$399.00,73,45,8,0,53,126
03/01/2021,A15,"$1,251.50",$0.00,$54.50,"$1,197.00",$722.00,$142.50,$0.00,$0.00,$0.00,"$1,251.50",$864.50,126,131,30,0,161,287
03/01/2021,A16,"$3,836.50",$0.00,$198.00,"$3,638.50",$636.50,$356.25,$0.00,$0.00,$0.00,"$3,836.50",$992.75,383,76,76,0,152,535
03/01/2021,A17,$783.00,$0.00,$32.50,$750.50,$408.50,$171.00,$0.00,$0.00,$0.00,$783.00,$579.50,79,78,36,0,114,193
03/01/2021,A18,"$2,910.00",$0.00,$145.50,"$2,764.50","$1,225.50",$304.00,$0.00,$0.00,$0.00,"$2,910.00","$1,529.50",291,173,64,0,237,528
03/01/2021,A19,"$22,419.00",$0.00,$977.50,"$21,441.50","$4,987.50",$693.50,$0.00,$0.00,$0.00,"$22,419.00","$5,681.00","2,257",860,161,0,"1,021","3,278"
03/01/2021,A20,"$7,014.50",$0.00,$355.00,"$6,659.50","$2,261.00",$285.00,$0.00,$0.00,$0.00,"$7,014.50","$2,546.00",701,386,61,0,447,"1,148"
04/01/2021,A03,$371.50,$0.00,$20.00,$351.50,$294.50,$114.00,$0.00,$0.00,$0.00,$371.50,$408.50,37,44,24,0,68,105
04/01/2021,A05,"$2,303.00",$0.00,$118.00,"$2,185.00",$589.00,$280.25,$0.00,$0.00,$0.00,"$2,303.00",$869.25,230,142,69,0,211,441
04/01/2021,A06,"$8,326.00",$0.00,$374.50,"$7,951.50","$5,386.50","$1,254.00",$0.00,$0.00,$0.00,"$8,326.00","$6,640.50",837,975,274,0,"1,249","2,086"
04/01/2021,A07,"$1,582.50",$0.00,$72.00,"$1,510.50",$503.50,$337.25,$0.00,$0.00,$0.00,"$1,582.50",$840.75,159,111,78,0,189,348
04/01/2021,A08,"$12,376.00",$0.00,$634.00,"$11,742.00","$3,648.00",$850.25,$0.00,$0.00,$0.00,"$12,376.00","$4,498.25","1,236",792,192,0,984,"2,220"
04/01/2021,A09,"$2,013.00",$0.00,$103.50,"$1,909.50",$446.50,$71.25,$0.00,$0.00,$0.00,"$2,013.00",$517.75,201,104,18,0,122,323
04/01/2021,A13,$279.50,$0.00,$13.50,$266.00,$142.50,$57.00,$0.00,$0.00,$0.00,$279.50,$199.50,28,33,12,0,45,73
04/01/2021,A14,$425.00,$0.00,$16.50,$408.50,$76.00,$38.00,$0.00,$0.00,$0.00,$425.00,$114.00,43,10,8,0,18,61
04/01/2021,A15,"$1,441.00",$0.00,$73.00,"$1,368.00","$1,206.50",$256.50,$0.00,$0.00,$0.00,"$1,441.00","$1,463.00",144,321,56,0,377,521
04/01/2021,A16,"$11,280.50",$0.00,$545.50,"$10,735.00","$2,413.00",$845.50,$0.00,$0.00,$0.00,"$11,280.50","$3,258.50","1,130",392,183,0,575,"1,705"
04/01/2021,A17,"$1,755.00",$0.00,$83.00,"$1,672.00",$712.50,$175.75,$0.00,$0.00,$0.00,"$1,755.00",$888.25,176,158,37,0,195,371
04/01/2021,A18,"$8,361.50",$0.00,$362.50,"$7,999.00","$3,648.00",$745.75,$0.00,$0.00,$0.00,"$8,361.50","$4,393.75",842,628,157,0,785,"1,627"
04/01/2021,A19,"$32,337.50",$0.00,"$1,557.50","$30,780.00","$11,846.50","$1,572.25",$0.00,$0.00,$0.00,"$32,337.50","$13,418.75","3,240","2,209",394,0,"2,603","5,843"
04/01/2021,A20,"$10,845.50",$0.00,$528.50,"$10,317.00","$5,073.00",$669.75,$0.00,$0.00,$0.00,"$10,845.50","$5,742.75","1,086",959,159,0,"1,118","2,204"
05/01/2021,A03,$617.00,$0.00,$28.00,$589.00,$104.50,$99.75,$0.00,$0.00,$0.00,$617.00,$204.25,62,31,22,0,53,115
05/01/2021,A05,"$1,970.50",$0.00,$99.00,"$1,871.50",$655.50,$147.25,$0.00,$0.00,$0.00,"$1,970.50",$802.75,197,154,45,0,199,396
05/01/2021,A06,"$7,350.50",$0.00,$330.00,"$7,020.50","$5,092.00","$1,011.75",$0.00,$0.00,$0.00,"$7,350.50","$6,103.75",739,990,226,0,"1,216","1,955"
05/01/2021,A07,"$2,112.50",$0.00,$98.50,"$2,014.00","$1,026.00",$232.75,$0.00,$0.00,$0.00,"$2,112.50","$1,258.75",212,199,53,0,252,464
05/01/2021,A08,"$12,712.00",$0.00,$590.00,"$12,122.00","$4,085.00",$665.00,$0.00,$0.00,$0.00,"$12,712.00","$4,750.00","1,276",835,152,0,987,"2,263"
05/01/2021,A09,"$2,378.00",$0.00,$117.00,"$2,261.00",$855.00,$123.50,$0.00,$0.00,$0.00,"$2,378.00",$978.50,238,130,29,0,159,397
05/01/2021,A13,$527.50,$0.00,$24.00,$503.50,$285.00,$61.75,$0.00,$0.00,$0.00,$527.50,$346.75,53,51,13,0,64,117
05/01/2021,A14,"$1,393.50",$0.00,$63.50,"$1,330.00",$285.00,$95.00,$0.00,$0.00,$0.00,"$1,393.50",$380.00,140,32,20,0,52,192
05/01/2021,A15,"$1,430.50",$0.00,$62.50,"$1,368.00","$1,282.50",$180.50,$0.00,$0.00,$0.00,"$1,430.50","$1,463.00",144,257,39,0,296,440
05/01/2021,A16,"$9,431.00",$0.00,$425.00,"$9,006.00","$2,726.50",$722.00,$0.00,$0.00,$0.00,"$9,431.00","$3,448.50",948,339,152,0,491,"1,439"
05/01/2021,A17,"$1,377.00",$0.00,$66.00,"$1,311.00",$741.00,$171.00,$0.00,$0.00,$0.00,"$1,377.00",$912.00,138,148,36,0,184,322
05/01/2021,A18,"$6,924.50",$0.00,$341.00,"$6,583.50","$3,847.50",$793.25,$0.00,$0.00,$0.00,"$6,924.50","$4,640.75",693,651,169,0,820,"1,513"
05/01/2021,A19,"$26,538.50",$0.00,"$1,240.00","$25,298.50","$9,956.00","$1,311.00",$0.00,$0.00,$0.00,"$26,538.50","$11,267.00","2,663","1,915",305,0,"2,220","4,883"
05/01/2021,A20,"$12,939.00",$0.00,$636.50,"$12,302.50","$6,830.50",$693.50,$0.00,$0.00,$0.00,"$12,939.00","$7,524.00","1,295","1,219",172,0,"1,391","2,686"
06/01/2021,A03,$937.00,$0.00,$44.00,$893.00,$275.50,$166.25,$0.00,$0.00,$0.00,$937.00,$441.75,94,52,35,0,87,181
06/01/2021,A05,"$1,579.00",$0.00,$87.50,"$1,491.50",$617.50,$156.75,$0.00,$0.00,$0.00,"$1,579.00",$774.25,157,113,50,0,163,320
06/01/2021,A06,"$6,726.50",$0.00,$304.50,"$6,422.00","$5,073.00",$926.25,$0.00,$0.00,$0.00,"$6,726.50","$5,999.25",676,904,208,0,"1,112","1,788"
06/01/2021,A07,"$1,583.00",$0.00,$72.50,"$1,510.50",$627.00,$228.00,$0.00,$0.00,$0.00,"$1,583.00",$855.00,159,130,49,0,179,338
06/01/2021,A08,"$15,190.50",$0.00,$693.50,"$14,497.00","$6,004.00",$912.00,$0.00,$0.00,$0.00,"$15,190.50","$6,916.00","1,526","1,175",200,0,"1,375","2,901"
06/01/2021,A09,"$2,926.50",$0.00,$133.50,"$2,793.00","$1,605.50",$123.50,$0.00,$0.00,$0.00,"$2,926.50","$1,729.00",294,269,29,0,298,592
06/01/2021,A13,$646.50,$0.00,$29.00,$617.50,$190.00,$42.75,$0.00,$0.00,$0.00,$646.50,$232.75,65,44,9,0,53,118
06/01/2021,A14,"$1,397.00",$0.00,$57.50,"$1,339.50",$247.00,$104.50,$0.00,$0.00,$0.00,"$1,397.00",$351.50,141,26,22,0,48,189
06/01/2021,A15,$99.50,$0.00,$4.50,$95.00,$28.50,$4.75,$0.00,$0.00,$0.00,$99.50,$33.25,10,3,1,0,4,14
06/01/2021,A16,"$10,000.00",$0.00,$443.00,"$9,557.00","$2,764.50",$888.25,$0.00,$0.00,$0.00,"$10,000.00","$3,652.75","1,006",405,190,0,595,"1,601"
