ID Estación,Estacion,Fecha,Efectivo,Overpay,Monto Pasajes,Monto Tarjeta Gral,Monto Tarjeta Per,Monto Tarjeta Bpd,Recargas,Recargas Error,Monto Total Efectivo,Monto Total Tarjetas,Pasajes Efectivo,Pasajes Tarjeta Gral,Pasajes Tarjeta Per,Pasajes Bpd,Total Pasajes Tarjeta,Total Pasajes
7900011,Mirador,2021-01-01,"$2,609.00",$101.00,"$2,508.00","$2,451.00",$384.75,$0.00,"$4,869.70",$41.00,"$7,639.70","$2,835.75",264,268,86,0,354,618
7900012,Huentitan,2021-01-01,"$2,411.50",$93.50,"$2,318.00","$2,166.00",$337.25,$0.00,"$4,106.50",$80.00,"$6,658.00","$2,503.25",244,232,72,0,304,548
7900013,Zoologico,2021-01-01,"$3,984.50",$156.00,"$3,828.50","$2,052.00",$418.00,$0.00,"$1,130.00",$41.00,"$5,175.50","$2,470.00",403,216,88,0,304,707
7900014,Independencia Nte.,2021-01-01,"$5,797.50",$259.00,"$5,538.50","$4,284.50",$612.75,$0.00,"$9,705.40",$64.00,"$15,666.90","$4,897.25",583,482,139,0,621,"1,204"
7900015,San Patricio,2021-01-01,"$1,337.50",$55.00,"$1,282.50","$3,781.00",$584.25,$0.00,"$8,793.00",$40.00,"$10,230.50","$4,365.25",135,408,131,0,539,674
7900016,Igualdad,2021-01-01,"$2,258.00",$92.00,"$2,166.00","$1,415.50",$218.50,$0.00,"$3,024.50",$10.00,"$5,292.50","$1,634.00",228,149,46,0,195,423
7900017,Monumental,2021-01-01,"$3,594.00",$126.50,"$3,467.50","$1,263.50",$346.75,$0.00,$587.00,$0.00,"$4,181.00","$1,610.25",365,133,73,0,206,571
7900018,Monte Olivette,2021-01-01,$691.50,$26.50,$665.00,$636.50,$156.75,$0.00,"$1,706.50",$0.00,"$2,398.00",$793.25,70,67,33,0,100,170
7900019,Circunvalacion,2021-01-01,"$3,770.00",$150.50,"$3,619.50","$2,194.50",$247.00,$0.00,"$4,146.00",$20.00,"$7,996.00","$2,441.50",381,231,52,0,283,664
7900020,Ciencias de La Salud,2021-01-01,"$1,940.50",$88.00,"$1,852.50",$855.00,$209.00,$0.00,"$1,169.00",$0.00,"$3,149.50","$1,064.00",195,90,44,0,134,329
7900021,Juan Alvarez,2021-01-01,"$2,685.00",$110.50,"$2,574.50","$2,071.00",$270.75,$0.00,"$3,901.00",$27.50,"$6,633.50","$2,341.75",271,218,57,0,275,546
7900022,Alameda,2021-01-01,"$3,546.50",$145.50,"$3,401.00","$1,691.00",$308.75,$0.00,"$2,976.00",$110.00,"$6,712.50","$1,999.75",358,178,65,0,243,601
7900023,San Juan de Dios,2021-01-01,"$9,471.50",$408.50,"$9,063.00","$6,056.25","$1,201.75",$0.00,"$9,153.00",$55.00,"$18,889.50","$7,258.00",954,808,253,0,"1,061","2,015"
7900024,Bicentenario,2021-01-01,"$4,483.00",$179.50,"$4,303.50","$3,557.75",$565.25,$0.00,"$5,013.00",$94.00,"$9,690.00","$4,123.00",453,518,119,0,637,"1,090"
7900025,La  Paz,2021-01-01,"$1,154.00",$52.00,"$1,102.00",$427.50,$61.75,$0.00,$961.50,$0.00,"$2,135.50",$489.25,116,45,13,0,58,174
7900026,Ninos Heroes,2021-01-01,"$8,543.50",$345.00,"$8,198.50","$3,762.00",$470.25,$0.00,"$6,637.50",$55.00,"$15,296.00","$4,232.25",863,396,99,0,495,"1,358"
7900027,Agua Azul,2021-01-01,"$1,275.50",$50.00,"$1,225.50","$1,102.00",$104.50,$0.00,"$2,046.00",$20.00,"$3,421.50","$1,206.50",129,116,22,0,138,267
7900028,Cipres,2021-01-01,$674.50,$28.50,$646.00,$370.50,$42.75,$0.00,$908.00,$0.00,"$1,602.50",$413.25,68,39,9,0,48,116
7900029,Heroe de Nacozari,2021-01-01,"$1,716.00",$72.50,"$1,643.50",$826.50,$175.75,$0.00,"$1,706.00",$50.00,"$3,492.00","$1,002.25",173,87,37,0,124,297
7900030,Lazaro Cardenas,2021-01-01,"$3,721.40",$149.40,"$3,572.00","$2,897.50",$389.50,$0.00,"$5,896.50",$66.50,"$9,784.40","$3,287.00",376,305,82,0,387,763
7900031,El Dean,2021-01-01,$554.30,$12.80,$541.50,$513.00,$128.25,$0.00,"$1,090.00",$0.00,"$1,644.30",$641.25,57,54,27,0,81,138
7900032,Zona Industrial,2021-01-01,$811.50,$32.50,$779.00,$522.50,$95.00,$0.00,$697.50,$0.00,"$1,509.00",$617.50,82,55,20,0,75,157
7900033,Lopez de Legazpi,2021-01-01,"$1,447.50",$60.50,"$1,387.00",$817.00,$99.75,$0.00,"$1,866.00",$0.00,"$3,333.50",$916.75,146,86,21,0,107,253
7900034,Clemente Orozco,2021-01-01,$954.00,$42.00,$912.00,"$2,764.50",$479.75,$0.00,"$7,343.50",$42.00,"$8,499.50","$3,244.25",96,293,102,0,395,491
7900035,Artes Plasticas,2021-01-01,"$1,407.00",$58.00,"$1,349.00","$1,140.00",$185.25,$0.00,"$2,957.50",$0.00,"$4,424.50","$1,325.25",142,120,39,0,159,301
7900036,Escultura,2021-01-01,"$2,000.50",$91.00,"$1,909.50","$1,805.00",$285.00,$0.00,"$7,484.50",$238.50,"$9,823.50","$2,090.00",201,261,85,0,346,547
7900037,Fray  Angelico,2021-01-01,"$9,454.00",$400.50,"$9,053.50","$5,092.00",$608.00,$0.00,"$17,950.50",$496.00,"$28,380.50","$5,700.00",953,887,194,0,"1,081","2,034"
7900011,Mirador,2021-01-02,"$5,654.50",$230.00,"$5,424.50","$4,379.50",$798.00,$0.00,"$7,676.50",$60.00,"$13,551.00","$5,177.50",571,492,187,0,679,"1,250"
7900012,Huentitan,2021-01-02,"$4,147.00",$157.00,"$3,990.00","$3,477.00",$688.75,$0.00,"$7,209.50",$0.00,"$11,356.50","$4,165.75",420,367,146,0,513,933
7900013,Zoologico,2021-01-02,"$6,802.00",$266.00,"$6,536.00","$4,987.50",$712.50,$0.00,"$8,029.00",$80.00,"$15,031.00","$5,700.00",688,525,150,0,675,"1,363"
7900014,Independencia Nte.,2021-01-02,"$15,596.00",$671.50,"$14,924.50","$9,044.00","$1,235.00",$0.00,"$20,610.00",$139.50,"$36,565.50","$10,279.00","1,571","1,025",280,0,"1,305","2,876"
